index,filename,time,temperature_K,pressure_GPa,cluster,PC1,PC2
76,seq_0074,2022-07-31 11:54:14,473.1,5.24,2,-20.046408,-18.6824
77,seq_0075,2022-07-31 11:55:13,473.22,5.31,2,-21.659904,-18.702682
78,seq_0076,2022-07-31 11:56:13,473.17,5.37,2,-20.817514,-18.617603
79,seq_0077,2022-07-31 11:57:13,473.08,5.44,2,-22.73135,-17.21085
80,seq_0078,2022-07-31 11:58:13,473.04,5.5,2,-23.238169,-16.946106
81,seq_0079,2022-07-31 11:59:13,473.12,5.57,2,-24.50544,-16.774448
82,seq_0080,2022-07-31 12:00:13,473.16,5.63,2,-24.422585,-15.477524
83,seq_0081,2022-07-31 12:01:13,473.13,5.7,2,-24.068026,-14.975521
84,seq_0082,2022-07-31 12:02:14,473.02,5.76,2,-24.259924,-16.481337
85,seq_0083,2022-07-31 12:03:14,473.08,5.83,2,-24.5202,-15.110733
86,seq_0084,2022-07-31 12:04:13,473.14,5.89,2,-24.283718,-16.032333
87,seq_0085,2022-07-31 12:05:14,473.13,5.96,2,-24.045969,-15.589431
88,seq_0086,2022-07-31 12:06:14,473.16,6.02,2,-24.07501,-14.576217
89,seq_0087,2022-07-31 12:07:14,473.23,6.09,2,-24.4227,-15.809638
90,seq_0088,2022-07-31 12:08:14,473.1,6.15,2,-24.474012,-14.7135935
91,seq_0089,2022-07-31 12:09:13,473.17,6.22,2,-23.953056,-14.888004
92,seq_0090,2022-07-31 12:10:13,473.09,6.28,2,-23.732399,-15.790605
93,seq_0091,2022-07-31 12:11:13,473.14,6.35,2,-23.6191,-15.37992
94,seq_0092,2022-07-31 12:12:13,473.01,6.41,2,-24.22257,-14.342459
95,seq_0093,2022-07-31 12:13:14,473.11,6.48,2,-25.173515,-14.729881
96,seq_0094,2022-07-31 12:14:13,472.96,6.54,2,-24.693537,-14.7076845
97,seq_0095,2022-07-31 12:15:13,473.07,6.61,2,-25.002,-14.210788
98,seq_0096,2022-07-31 12:16:13,473.1,6.67,2,-23.833061,-14.529841
99,seq_0097,2022-07-31 12:17:14,473.07,6.74,2,-24.796072,-15.311197
100,seq_0098,2022-07-31 12:18:13,473.1,6.8,2,-23.494947,-14.466338
101,seq_0099,2022-07-31 12:19:14,473.08,6.87,2,-23.472614,-15.823716
102,seq_0100,2022-07-31 12:20:13,473.11,6.93,2,-22.742756,-15.1697855
103,seq_0101,2022-07-31 12:21:14,473.13,7.0,2,-22.805473,-14.770268
104,seq_0102,2022-07-31 12:22:14,473.03,7.06,2,-22.33274,-14.498339
105,seq_0103,2022-07-31 12:23:13,473.06,7.13,2,-21.867403,-15.650687
106,seq_0104,2022-07-31 12:24:13,473.1,7.19,2,-16.372894,-13.029276
107,seq_0105,2022-07-31 12:25:13,473.07,7.26,2,-9.97421,-19.156664
108,seq_0106,2022-07-31 12:26:13,473.05,7.32,2,-10.101392,-19.191986
109,seq_0107,2022-07-31 12:27:13,473.11,7.39,2,-10.17882,-21.253223
110,seq_0108,2022-07-31 12:28:14,473.09,7.45,2,-12.404105,-20.711428
111,seq_0109,2022-07-31 12:29:14,473.03,7.52,2,-10.742654,-22.679794
112,seq_0110,2022-07-31 12:30:14,473.01,7.58,2,-11.614537,-22.717724
113,seq_0111,2022-07-31 12:31:14,473.09,7.65,2,-13.515557,-22.33699
114,seq_0112,2022-07-31 12:32:13,473.04,7.71,2,-13.378435,-22.051842
115,seq_0113,2022-07-31 12:33:14,473.01,7.78,2,-15.707994,-22.731152
116,seq_0114,2022-07-31 12:34:14,473.11,7.84,2,-15.137017,-20.726358
117,seq_0115,2022-07-31 12:35:14,473.06,7.91,2,-18.443491,-22.126955
118,seq_0116,2022-07-31 12:36:13,473.17,7.97,2,-16.602602,-18.683317
119,seq_0117,2022-07-31 12:37:13,473.25,8.04,2,-17.111118,-18.34115
120,seq_0118,2022-07-31 12:38:13,473.13,8.1,2,-19.481007,-17.539137
121,seq_0119,2022-07-31 12:39:14,473.17,8.17,2,-16.377998,0.41789415
122,seq_0120,2022-07-31 12:40:13,473.22,8.23,2,-16.268814,0.47814962
123,seq_0121,2022-07-31 12:41:13,473.11,8.3,2,-15.725806,0.9554505
124,seq_0122,2022-07-31 12:42:13,473.17,8.36,2,-15.067505,0.5565346
125,seq_0123,2022-07-31 12:43:13,473.13,8.43,2,-16.581825,0.5075198
126,seq_0124,2022-07-31 12:44:13,473.1,8.49,2,-16.867212,2.0985177
127,seq_0125,2022-07-31 12:45:14,473.11,8.56,2,-12.885153,-17.62957
128,seq_0126,2022-07-31 12:46:13,473.2,8.62,2,-13.899295,-22.752407
129,seq_0127,2022-07-31 12:47:14,473.16,8.69,2,-13.588219,-20.435726
130,seq_0128,2022-07-31 12:48:13,473.07,8.75,2,-14.401855,-20.272444
131,seq_0129,2022-07-31 12:49:14,473.09,8.82,2,-14.587515,-18.389353
132,seq_0130,2022-07-31 12:50:13,473.14,8.88,2,-15.115369,-18.780287
133,seq_0131,2022-07-31 12:51:13,473.01,8.95,2,-15.544424,-19.049297
134,seq_0132,2022-07-31 12:52:14,473.11,9.0,2,-17.143581,-19.53957
135,seq_0133,2022-07-31 12:53:13,473.13,9.0,2,-16.449728,-18.289438
136,seq_0134,2022-07-31 12:54:14,473.13,9.0,2,-16.134228,-18.413559
137,seq_0135,2022-07-31 12:55:13,473.15,9.0,2,-15.848485,-17.473957
138,seq_0136,2022-07-31 12:56:13,473.39,9.0,2,-17.68342,-17.565258
139,seq_0137,2022-07-31 12:57:13,571.82,9.0,2,-11.759069,-19.225634
140,seq_0138,2022-07-31 12:58:14,674.79,9.0,3,8.888822,-19.981812
141,seq_0139,2022-07-31 12:59:14,774.35,9.0,3,26.300175,-21.0303
142,seq_0140,2022-07-31 13:00:14,869.97,9.0,3,27.863613,-18.033558
143,seq_0141,2022-07-31 13:01:14,873.13,9.0,3,28.083637,-15.7161875
144,seq_0142,2022-07-31 13:02:14,873.44,9.0,3,28.687963,-15.835706
145,seq_0143,2022-07-31 13:03:14,873.11,9.0,3,27.297554,-17.358732
146,seq_0144,2022-07-31 13:04:14,873.03,9.0,3,29.053919,-15.313595
147,seq_0145,2022-07-31 13:05:13,873.09,9.0,3,28.796215,-14.619204
148,seq_0146,2022-07-31 13:06:13,873.01,9.0,3,28.45833,-14.085276
149,seq_0147,2022-07-31 13:07:14,873.07,9.0,3,29.99402,-14.517052
150,seq_0148,2022-07-31 13:08:14,872.86,9.0,3,28.974003,-15.519582
151,seq_0149,2022-07-31 13:09:14,872.89,9.0,3,28.464317,-13.009816
152,seq_0150,2022-07-31 13:10:14,873.01,9.0,3,30.067173,-14.195321
153,seq_0151,2022-07-31 13:11:14,872.94,9.0,3,29.281351,-15.725679
154,seq_0152,2022-07-31 13:12:13,872.69,9.0,3,29.645887,-13.265502
155,seq_0153,2022-07-31 13:13:14,873.01,9.0,3,29.073416,-12.519837
156,seq_0154,2022-07-31 13:14:14,873.01,9.0,3,28.764084,-12.244111
157,seq_0155,2022-07-31 13:15:13,872.96,9.0,3,31.117323,-11.9535055
158,seq_0156,2022-07-31 13:16:14,872.86,9.0,3,29.4051,-13.87857
159,seq_0157,2022-07-31 13:17:14,873.03,9.0,3,29.781353,-14.451944
160,seq_0158,2022-07-31 13:18:14,873.05,9.0,3,28.947227,-11.996705
161,seq_0159,2022-07-31 13:19:14,873.25,9.0,3,29.907663,-13.80107
162,seq_0160,2022-07-31 13:20:14,873.19,9.0,3,28.988201,-13.679647
