ch,energy,intensity
1,0.0463,0
2,0.0893,0
3,0.1324,0
4,0.1754,0
5,0.2185,0
6,0.2615,0
7,0.3046,0
8,0.3476,0
9,0.3907,0
10,0.4338,0
11,0.4768,0
12,0.5199,0
13,0.5629,0
14,0.606,0
15,0.649,0
16,0.6921,0
17,0.7351,0
18,0.7782,0
19,0.8213,0
20,0.8643,0
21,0.9074,0
22,0.9504,0
23,0.9935,0
24,1.0365,0
25,1.0796,0
26,1.1227,0
27,1.1657,0
28,1.2088,0
29,1.2518,0
30,1.2949,0
31,1.3379,0
32,1.381,0
33,1.424,0
34,1.4671,0
35,1.5102,0
36,1.5532,0
37,1.5963,0
38,1.6393,0
39,1.6824,1
40,1.7254,4
41,1.7685,6
42,1.8115,8
43,1.8546,4
44,1.8977,14
45,1.9407,17
46,1.9838,7
47,2.0268,18
48,2.0699,12
49,2.1129,7
50,2.156,15
51,2.1991,12
52,2.2421,11
53,2.2852,5
54,2.3282,12
55,2.3713,10
56,2.4143,9
57,2.4574,8
58,2.5004,8
59,2.5435,14
60,2.5866,7
61,2.6296,15
62,2.6727,13
63,2.7157,7
64,2.7588,13
65,2.8018,17
66,2.8449,12
67,2.8879,21
68,2.931,15
69,2.9741,12
70,3.0171,20
71,3.0602,15
72,3.1032,11
73,3.1463,14
74,3.1893,7
75,3.2324,16
76,3.2755,8
77,3.3185,13
78,3.3616,15
79,3.4046,11
80,3.4477,15
81,3.4907,13
82,3.5338,6
83,3.5768,10
84,3.6199,18
85,3.663,8
86,3.706,13
87,3.7491,8
88,3.7921,12
89,3.8352,12
90,3.8782,12
91,3.9213,11
92,3.9643,20
93,4.0074,13
94,4.0505,13
95,4.0935,9
96,4.1366,7
97,4.1796,10
98,4.2227,11
99,4.2657,13
100,4.3088,15
101,4.3519,16
102,4.3949,12
103,4.438,13
104,4.481,15
105,4.5241,14
106,4.5671,10
107,4.6102,18
108,4.6532,12
109,4.6963,14
110,4.7394,18
111,4.7824,11
112,4.8255,6
113,4.8685,12
114,4.9116,7
115,4.9546,13
116,4.9977,14
117,5.0407,11
118,5.0838,10
119,5.1269,13
120,5.1699,8
121,5.213,12
122,5.256,15
123,5.2991,13
124,5.3421,11
125,5.3852,12
126,5.4283,7
127,5.4713,12
128,5.5144,9
129,5.5574,8
130,5.6005,10
131,5.6435,8
132,5.6866,13
133,5.7296,14
134,5.7727,9
135,5.8158,8
136,5.8588,10
137,5.9019,22
138,5.9449,6
139,5.988,16
140,6.031,7
141,6.0741,14
142,6.1171,11
143,6.1602,16
144,6.2033,13
145,6.2463,8
146,6.2894,13
147,6.3324,9
148,6.3755,8
149,6.4185,6
150,6.4616,13
151,6.5047,11
152,6.5477,19
153,6.5908,18
154,6.6338,13
155,6.6769,7
156,6.7199,10
157,6.763,11
158,6.806,19
159,6.8491,12
160,6.8922,9
161,6.9352,8
162,6.9783,17
163,7.0213,12
164,7.0644,10
165,7.1074,11
166,7.1505,7
167,7.1935,12
168,7.2366,8
169,7.2797,13
170,7.3227,15
171,7.3658,11
172,7.4088,8
173,7.4519,9
174,7.4949,7
175,7.538,12
176,7.5811,11
177,7.6241,7
178,7.6672,11
179,7.7102,9
180,7.7533,10
181,7.7963,11
182,7.8394,16
183,7.8824,11
184,7.9255,14
185,7.9686,9
186,8.0116,16
187,8.0547,13
188,8.0977,12
189,8.1408,12
