ch,energy,intensity
1,0.0463,0
2,0.0893,0
3,0.1324,0
4,0.1754,0
5,0.2185,0
6,0.2615,0
7,0.3046,0
8,0.3476,0
9,0.3907,0
10,0.4338,0
11,0.4768,0
12,0.5199,0
13,0.5629,0
14,0.606,0
15,0.649,0
16,0.6921,0
17,0.7351,0
18,0.7782,0
19,0.8213,0
20,0.8643,0
21,0.9074,0
22,0.9504,0
23,0.9935,0
24,1.0365,0
25,1.0796,0
26,1.1227,0
27,1.1657,0
28,1.2088,0
29,1.2518,0
30,1.2949,0
31,1.3379,0
32,1.381,0
33,1.424,0
34,1.4671,0
35,1.5102,0
36,1.5532,0
37,1.5963,2
38,1.6393,3
39,1.6824,4
40,1.7254,11
41,1.7685,6
42,1.8115,12
43,1.8546,11
44,1.8977,14
45,1.9407,17
46,1.9838,9
47,2.0268,16
48,2.0699,20
49,2.1129,13
50,2.156,14
51,2.1991,13
52,2.2421,18
53,2.2852,14
54,2.3282,19
55,2.3713,18
56,2.4143,17
57,2.4574,20
58,2.5004,9
59,2.5435,13
60,2.5866,12
61,2.6296,10
62,2.6727,22
63,2.7157,12
64,2.7588,10
65,2.8018,15
66,2.8449,26
67,2.8879,17
68,2.931,20
69,2.9741,20
70,3.0171,15
71,3.0602,19
72,3.1032,19
73,3.1463,12
74,3.1893,19
75,3.2324,16
76,3.2755,16
77,3.3185,11
78,3.3616,23
79,3.4046,15
80,3.4477,13
81,3.4907,12
82,3.5338,19
83,3.5768,13
84,3.6199,10
85,3.663,13
86,3.706,14
87,3.7491,10
88,3.7921,16
89,3.8352,14
90,3.8782,9
91,3.9213,12
92,3.9643,17
93,4.0074,12
94,4.0505,11
95,4.0935,16
96,4.1366,13
97,4.1796,15
98,4.2227,9
99,4.2657,13
100,4.3088,16
101,4.3519,15
102,4.3949,12
103,4.438,15
104,4.481,13
105,4.5241,11
106,4.5671,12
107,4.6102,9
108,4.6532,13
109,4.6963,23
110,4.7394,6
111,4.7824,22
112,4.8255,15
113,4.8685,13
114,4.9116,15
115,4.9546,17
116,4.9977,20
117,5.0407,19
118,5.0838,15
119,5.1269,10
120,5.1699,14
121,5.213,20
122,5.256,14
123,5.2991,18
124,5.3421,19
125,5.3852,17
126,5.4283,11
127,5.4713,15
128,5.5144,9
129,5.5574,14
130,5.6005,17
131,5.6435,14
132,5.6866,11
133,5.7296,14
134,5.7727,13
135,5.8158,18
136,5.8588,7
137,5.9019,14
138,5.9449,19
139,5.988,15
140,6.031,18
141,6.0741,14
142,6.1171,18
143,6.1602,11
144,6.2033,9
145,6.2463,11
146,6.2894,11
147,6.3324,17
148,6.3755,16
149,6.4185,22
150,6.4616,10
151,6.5047,8
152,6.5477,13
153,6.5908,15
154,6.6338,7
155,6.6769,17
156,6.7199,19
157,6.763,14
158,6.806,8
159,6.8491,16
160,6.8922,16
161,6.9352,12
162,6.9783,19
163,7.0213,27
164,7.0644,13
165,7.1074,17
166,7.1505,12
167,7.1935,12
168,7.2366,16
169,7.2797,11
170,7.3227,17
171,7.3658,13
172,7.4088,24
173,7.4519,22
174,7.4949,14
175,7.538,15
176,7.5811,21
177,7.6241,18
178,7.6672,15
179,7.7102,7
180,7.7533,18
181,7.7963,15
182,7.8394,15
183,7.8824,16
184,7.9255,25
185,7.9686,15
186,8.0116,15
187,8.0547,20
188,8.0977,16
189,8.1408,16
