ch,energy,intensity
1,0.0463,0
2,0.0893,0
3,0.1324,0
4,0.1754,0
5,0.2185,0
6,0.2615,0
7,0.3046,0
8,0.3476,0
9,0.3907,0
10,0.4338,0
11,0.4768,0
12,0.5199,0
13,0.5629,0
14,0.606,0
15,0.649,0
16,0.6921,0
17,0.7351,0
18,0.7782,0
19,0.8213,0
20,0.8643,0
21,0.9074,0
22,0.9504,0
23,0.9935,0
24,1.0365,0
25,1.0796,0
26,1.1227,0
27,1.1657,0
28,1.2088,0
29,1.2518,0
30,1.2949,0
31,1.3379,0
32,1.381,0
33,1.424,0
34,1.4671,0
35,1.5102,0
36,1.5532,0
37,1.5963,2
38,1.6393,0
39,1.6824,0
40,1.7254,2
41,1.7685,4
42,1.8115,5
43,1.8546,6
44,1.8977,12
45,1.9407,10
46,1.9838,13
47,2.0268,13
48,2.0699,11
49,2.1129,17
50,2.156,9
51,2.1991,9
52,2.2421,11
53,2.2852,21
54,2.3282,18
55,2.3713,20
56,2.4143,10
57,2.4574,15
58,2.5004,18
59,2.5435,22
60,2.5866,20
61,2.6296,13
62,2.6727,7
63,2.7157,9
64,2.7588,17
65,2.8018,19
66,2.8449,15
67,2.8879,16
68,2.931,17
69,2.9741,18
70,3.0171,12
71,3.0602,15
72,3.1032,16
73,3.1463,24
74,3.1893,13
75,3.2324,16
76,3.2755,15
77,3.3185,12
78,3.3616,15
79,3.4046,13
80,3.4477,26
81,3.4907,12
82,3.5338,22
83,3.5768,10
84,3.6199,14
85,3.663,15
86,3.706,17
87,3.7491,18
88,3.7921,19
89,3.8352,16
90,3.8782,12
91,3.9213,17
92,3.9643,9
93,4.0074,10
94,4.0505,14
95,4.0935,8
96,4.1366,15
97,4.1796,25
98,4.2227,9
99,4.2657,21
100,4.3088,21
101,4.3519,22
102,4.3949,19
103,4.438,18
104,4.481,19
105,4.5241,20
106,4.5671,15
107,4.6102,16
108,4.6532,13
109,4.6963,12
110,4.7394,15
111,4.7824,16
112,4.8255,16
113,4.8685,10
114,4.9116,17
115,4.9546,20
116,4.9977,19
117,5.0407,18
118,5.0838,15
119,5.1269,21
120,5.1699,17
121,5.213,14
122,5.256,16
123,5.2991,16
124,5.3421,17
125,5.3852,17
126,5.4283,16
127,5.4713,14
128,5.5144,17
129,5.5574,13
130,5.6005,13
131,5.6435,12
132,5.6866,19
133,5.7296,16
134,5.7727,20
135,5.8158,15
136,5.8588,17
137,5.9019,11
138,5.9449,21
139,5.988,21
140,6.031,14
141,6.0741,13
142,6.1171,10
143,6.1602,12
144,6.2033,19
145,6.2463,11
146,6.2894,8
147,6.3324,14
148,6.3755,16
149,6.4185,15
150,6.4616,13
151,6.5047,13
152,6.5477,10
153,6.5908,23
154,6.6338,22
155,6.6769,12
156,6.7199,16
157,6.763,17
158,6.806,15
159,6.8491,9
160,6.8922,15
161,6.9352,16
162,6.9783,25
163,7.0213,14
164,7.0644,11
165,7.1074,13
166,7.1505,12
167,7.1935,13
168,7.2366,12
169,7.2797,19
170,7.3227,17
171,7.3658,13
172,7.4088,8
173,7.4519,19
174,7.4949,14
175,7.538,14
176,7.5811,17
177,7.6241,12
178,7.6672,15
179,7.7102,18
180,7.7533,17
181,7.7963,17
182,7.8394,14
183,7.8824,13
184,7.9255,14
185,7.9686,14
186,8.0116,18
187,8.0547,7
188,8.0977,14
189,8.1408,14
