ch,energy,intensity
1,0.0463,0
2,0.0893,0
3,0.1324,0
4,0.1754,0
5,0.2185,0
6,0.2615,0
7,0.3046,0
8,0.3476,0
9,0.3907,0
10,0.4338,0
11,0.4768,0
12,0.5199,0
13,0.5629,0
14,0.606,0
15,0.649,0
16,0.6921,0
17,0.7351,0
18,0.7782,0
19,0.8213,0
20,0.8643,0
21,0.9074,0
22,0.9504,0
23,0.9935,0
24,1.0365,0
25,1.0796,0
26,1.1227,0
27,1.1657,0
28,1.2088,0
29,1.2518,0
30,1.2949,0
31,1.3379,0
32,1.381,0
33,1.424,0
34,1.4671,0
35,1.5102,0
36,1.5532,0
37,1.5963,0
38,1.6393,0
39,1.6824,2
40,1.7254,3
41,1.7685,8
42,1.8115,11
43,1.8546,10
44,1.8977,17
45,1.9407,20
46,1.9838,11
47,2.0268,14
48,2.0699,12
49,2.1129,19
50,2.156,11
51,2.1991,10
52,2.2421,16
53,2.2852,16
54,2.3282,12
55,2.3713,12
56,2.4143,16
57,2.4574,17
58,2.5004,14
59,2.5435,12
60,2.5866,11
61,2.6296,17
62,2.6727,17
63,2.7157,11
64,2.7588,12
65,2.8018,13
66,2.8449,18
67,2.8879,14
68,2.931,16
69,2.9741,14
70,3.0171,19
71,3.0602,8
72,3.1032,17
73,3.1463,11
74,3.1893,17
75,3.2324,11
76,3.2755,14
77,3.3185,13
78,3.3616,10
79,3.4046,9
80,3.4477,11
81,3.4907,9
82,3.5338,11
83,3.5768,10
84,3.6199,15
85,3.663,18
86,3.706,19
87,3.7491,14
88,3.7921,17
89,3.8352,15
90,3.8782,13
91,3.9213,13
92,3.9643,15
93,4.0074,15
94,4.0505,9
95,4.0935,7
96,4.1366,16
97,4.1796,15
98,4.2227,9
99,4.2657,14
100,4.3088,7
101,4.3519,15
102,4.3949,11
103,4.438,10
104,4.481,6
105,4.5241,8
106,4.5671,11
107,4.6102,4
108,4.6532,12
109,4.6963,6
110,4.7394,17
111,4.7824,6
112,4.8255,13
113,4.8685,12
114,4.9116,12
115,4.9546,16
116,4.9977,11
117,5.0407,9
118,5.0838,13
119,5.1269,15
120,5.1699,15
121,5.213,17
122,5.256,17
123,5.2991,14
124,5.3421,16
125,5.3852,15
126,5.4283,15
127,5.4713,7
128,5.5144,12
129,5.5574,8
130,5.6005,13
131,5.6435,10
132,5.6866,15
133,5.7296,12
134,5.7727,15
135,5.8158,8
136,5.8588,12
137,5.9019,11
138,5.9449,8
139,5.988,9
140,6.031,14
141,6.0741,9
142,6.1171,9
143,6.1602,11
144,6.2033,18
145,6.2463,9
146,6.2894,13
147,6.3324,9
148,6.3755,9
149,6.4185,8
150,6.4616,7
151,6.5047,11
152,6.5477,11
153,6.5908,16
154,6.6338,12
155,6.6769,16
156,6.7199,9
157,6.763,18
158,6.806,8
159,6.8491,12
160,6.8922,10
161,6.9352,14
162,6.9783,13
163,7.0213,15
164,7.0644,13
165,7.1074,19
166,7.1505,15
167,7.1935,11
168,7.2366,15
169,7.2797,14
170,7.3227,14
171,7.3658,13
172,7.4088,12
173,7.4519,5
174,7.4949,13
175,7.538,18
176,7.5811,12
177,7.6241,11
178,7.6672,11
179,7.7102,7
180,7.7533,15
181,7.7963,10
182,7.8394,8
183,7.8824,8
184,7.9255,11
185,7.9686,9
186,8.0116,10
187,8.0547,11
188,8.0977,15
189,8.1408,5
