ch,energy,intensity
1,0.0463,0
2,0.0893,0
3,0.1324,0
4,0.1754,0
5,0.2185,0
6,0.2615,0
7,0.3046,0
8,0.3476,0
9,0.3907,0
10,0.4338,0
11,0.4768,0
12,0.5199,0
13,0.5629,0
14,0.606,0
15,0.649,0
16,0.6921,0
17,0.7351,0
18,0.7782,0
19,0.8213,0
20,0.8643,0
21,0.9074,0
22,0.9504,0
23,0.9935,0
24,1.0365,0
25,1.0796,0
26,1.1227,0
27,1.1657,0
28,1.2088,0
29,1.2518,0
30,1.2949,0
31,1.3379,0
32,1.381,0
33,1.424,0
34,1.4671,0
35,1.5102,0
36,1.5532,0
37,1.5963,0
38,1.6393,0
39,1.6824,1
40,1.7254,2
41,1.7685,4
42,1.8115,11
43,1.8546,8
44,1.8977,12
45,1.9407,14
46,1.9838,11
47,2.0268,6
48,2.0699,8
49,2.1129,19
50,2.156,9
51,2.1991,14
52,2.2421,11
53,2.2852,15
54,2.3282,15
55,2.3713,7
56,2.4143,13
57,2.4574,16
58,2.5004,10
59,2.5435,13
60,2.5866,14
61,2.6296,11
62,2.6727,13
63,2.7157,12
64,2.7588,11
65,2.8018,15
66,2.8449,20
67,2.8879,13
68,2.931,17
69,2.9741,9
70,3.0171,7
71,3.0602,20
72,3.1032,15
73,3.1463,15
74,3.1893,19
75,3.2324,23
76,3.2755,12
77,3.3185,12
78,3.3616,6
79,3.4046,15
80,3.4477,20
81,3.4907,17
82,3.5338,17
83,3.5768,18
84,3.6199,17
85,3.663,19
86,3.706,18
87,3.7491,16
88,3.7921,16
89,3.8352,15
90,3.8782,17
91,3.9213,6
92,3.9643,23
93,4.0074,11
94,4.0505,19
95,4.0935,20
96,4.1366,17
97,4.1796,15
98,4.2227,13
99,4.2657,14
100,4.3088,16
101,4.3519,14
102,4.3949,15
103,4.438,22
104,4.481,13
105,4.5241,15
106,4.5671,14
107,4.6102,18
108,4.6532,17
109,4.6963,19
110,4.7394,18
111,4.7824,19
112,4.8255,14
113,4.8685,22
114,4.9116,22
115,4.9546,21
116,4.9977,15
117,5.0407,22
118,5.0838,22
119,5.1269,12
120,5.1699,11
121,5.213,16
122,5.256,23
123,5.2991,12
124,5.3421,18
125,5.3852,13
126,5.4283,20
127,5.4713,14
128,5.5144,13
129,5.5574,18
130,5.6005,18
131,5.6435,17
132,5.6866,12
133,5.7296,13
134,5.7727,24
135,5.8158,17
136,5.8588,17
137,5.9019,22
138,5.9449,11
139,5.988,20
140,6.031,18
141,6.0741,22
142,6.1171,12
143,6.1602,18
144,6.2033,17
145,6.2463,19
146,6.2894,14
147,6.3324,15
148,6.3755,17
149,6.4185,18
150,6.4616,13
151,6.5047,23
152,6.5477,21
153,6.5908,16
154,6.6338,12
155,6.6769,14
156,6.7199,26
157,6.763,24
158,6.806,16
159,6.8491,14
160,6.8922,14
161,6.9352,17
162,6.9783,12
163,7.0213,16
164,7.0644,15
165,7.1074,14
166,7.1505,11
167,7.1935,13
168,7.2366,16
169,7.2797,15
170,7.3227,19
171,7.3658,23
172,7.4088,15
173,7.4519,14
174,7.4949,18
175,7.538,19
176,7.5811,12
177,7.6241,21
178,7.6672,16
179,7.7102,17
180,7.7533,17
181,7.7963,15
182,7.8394,11
183,7.8824,21
184,7.9255,10
185,7.9686,11
186,8.0116,21
187,8.0547,16
188,8.0977,21
189,8.1408,14
