ch,energy,intensity
1,0.0463,0
2,0.0893,0
3,0.1324,0
4,0.1754,0
5,0.2185,0
6,0.2615,0
7,0.3046,0
8,0.3476,0
9,0.3907,0
10,0.4338,0
11,0.4768,0
12,0.5199,0
13,0.5629,0
14,0.606,0
15,0.649,0
16,0.6921,0
17,0.7351,0
18,0.7782,0
19,0.8213,0
20,0.8643,0
21,0.9074,0
22,0.9504,0
23,0.9935,0
24,1.0365,0
25,1.0796,0
26,1.1227,0
27,1.1657,0
28,1.2088,0
29,1.2518,0
30,1.2949,0
31,1.3379,0
32,1.381,0
33,1.424,0
34,1.4671,0
35,1.5102,0
36,1.5532,0
37,1.5963,0
38,1.6393,0
39,1.6824,0
40,1.7254,4
41,1.7685,12
42,1.8115,5
43,1.8546,13
44,1.8977,18
45,1.9407,4
46,1.9838,10
47,2.0268,11
48,2.0699,22
49,2.1129,17
50,2.156,11
51,2.1991,10
52,2.2421,11
53,2.2852,13
54,2.3282,12
55,2.3713,13
56,2.4143,9
57,2.4574,10
58,2.5004,18
59,2.5435,10
60,2.5866,6
61,2.6296,11
62,2.6727,10
63,2.7157,16
64,2.7588,15
65,2.8018,10
66,2.8449,10
67,2.8879,14
68,2.931,16
69,2.9741,9
70,3.0171,15
71,3.0602,17
72,3.1032,10
73,3.1463,12
74,3.1893,15
75,3.2324,16
76,3.2755,11
77,3.3185,16
78,3.3616,15
79,3.4046,12
80,3.4477,16
81,3.4907,17
82,3.5338,9
83,3.5768,18
84,3.6199,9
85,3.663,12
86,3.706,17
87,3.7491,13
88,3.7921,12
89,3.8352,21
90,3.8782,12
91,3.9213,6
92,3.9643,12
93,4.0074,17
94,4.0505,7
95,4.0935,14
96,4.1366,16
97,4.1796,22
98,4.2227,18
99,4.2657,9
100,4.3088,10
101,4.3519,9
102,4.3949,11
103,4.438,14
104,4.481,15
105,4.5241,16
106,4.5671,13
107,4.6102,11
108,4.6532,9
109,4.6963,11
110,4.7394,12
111,4.7824,12
112,4.8255,16
113,4.8685,13
114,4.9116,12
115,4.9546,19
116,4.9977,10
117,5.0407,14
118,5.0838,12
119,5.1269,7
120,5.1699,14
121,5.213,19
122,5.256,12
123,5.2991,11
124,5.3421,11
125,5.3852,13
126,5.4283,18
127,5.4713,15
128,5.5144,9
129,5.5574,6
130,5.6005,12
131,5.6435,13
132,5.6866,7
133,5.7296,12
134,5.7727,9
135,5.8158,14
136,5.8588,9
137,5.9019,17
138,5.9449,10
139,5.988,14
140,6.031,18
141,6.0741,11
142,6.1171,10
143,6.1602,11
144,6.2033,12
145,6.2463,14
146,6.2894,10
147,6.3324,9
148,6.3755,16
149,6.4185,8
150,6.4616,9
151,6.5047,19
152,6.5477,19
153,6.5908,17
154,6.6338,10
155,6.6769,4
156,6.7199,9
157,6.763,11
158,6.806,10
159,6.8491,12
160,6.8922,20
161,6.9352,13
162,6.9783,12
163,7.0213,22
164,7.0644,12
165,7.1074,10
166,7.1505,20
167,7.1935,17
168,7.2366,9
169,7.2797,6
170,7.3227,16
171,7.3658,13
172,7.4088,10
173,7.4519,8
174,7.4949,14
175,7.538,16
176,7.5811,12
177,7.6241,17
178,7.6672,14
179,7.7102,19
180,7.7533,12
181,7.7963,18
182,7.8394,14
183,7.8824,7
184,7.9255,12
185,7.9686,14
186,8.0116,10
187,8.0547,15
188,8.0977,5
189,8.1408,14
