ch,energy,intensity
1,0.0463,0
2,0.0893,0
3,0.1324,0
4,0.1754,0
5,0.2185,0
6,0.2615,0
7,0.3046,0
8,0.3476,0
9,0.3907,0
10,0.4338,0
11,0.4768,0
12,0.5199,0
13,0.5629,0
14,0.606,0
15,0.649,0
16,0.6921,0
17,0.7351,0
18,0.7782,0
19,0.8213,0
20,0.8643,0
21,0.9074,0
22,0.9504,0
23,0.9935,0
24,1.0365,0
25,1.0796,0
26,1.1227,0
27,1.1657,0
28,1.2088,0
29,1.2518,0
30,1.2949,0
31,1.3379,0
32,1.381,0
33,1.424,0
34,1.4671,0
35,1.5102,0
36,1.5532,0
37,1.5963,0
38,1.6393,0
39,1.6824,0
40,1.7254,0
41,1.7685,4
42,1.8115,1
43,1.8546,1
44,1.8977,1
45,1.9407,4
46,1.9838,1
47,2.0268,1
48,2.0699,2
49,2.1129,5
50,2.156,1
51,2.1991,1
52,2.2421,4
53,2.2852,2
54,2.3282,0
55,2.3713,1
56,2.4143,2
57,2.4574,7
58,2.5004,3
59,2.5435,4
60,2.5866,1
61,2.6296,5
62,2.6727,6
63,2.7157,3
64,2.7588,3
65,2.8018,2
66,2.8449,6
67,2.8879,3
68,2.931,7
69,2.9741,2
70,3.0171,3
71,3.0602,9
72,3.1032,3
73,3.1463,2
74,3.1893,6
75,3.2324,2
76,3.2755,6
77,3.3185,3
78,3.3616,3
79,3.4046,6
80,3.4477,1
81,3.4907,6
82,3.5338,1
83,3.5768,5
84,3.6199,2
85,3.663,3
86,3.706,2
87,3.7491,2
88,3.7921,5
89,3.8352,2
90,3.8782,2
91,3.9213,4
92,3.9643,7
93,4.0074,2
94,4.0505,5
95,4.0935,3
96,4.1366,2
97,4.1796,5
98,4.2227,2
99,4.2657,3
100,4.3088,6
101,4.3519,5
102,4.3949,5
103,4.438,6
104,4.481,3
105,4.5241,4
106,4.5671,2
107,4.6102,6
108,4.6532,1
109,4.6963,2
110,4.7394,7
111,4.7824,2
112,4.8255,0
113,4.8685,2
114,4.9116,8
115,4.9546,6
116,4.9977,2
117,5.0407,9
118,5.0838,3
119,5.1269,5
120,5.1699,2
121,5.213,6
122,5.256,3
123,5.2991,8
124,5.3421,3
125,5.3852,3
126,5.4283,5
127,5.4713,2
128,5.5144,4
129,5.5574,3
130,5.6005,5
131,5.6435,2
132,5.6866,2
133,5.7296,5
134,5.7727,4
135,5.8158,2
136,5.8588,1
137,5.9019,6
138,5.9449,5
139,5.988,3
140,6.031,3
141,6.0741,5
142,6.1171,3
143,6.1602,3
144,6.2033,6
145,6.2463,4
146,6.2894,6
147,6.3324,2
148,6.3755,1
149,6.4185,6
150,6.4616,6
151,6.5047,5
152,6.5477,1
153,6.5908,5
154,6.6338,4
155,6.6769,1
156,6.7199,6
157,6.763,5
158,6.806,3
159,6.8491,5
160,6.8922,6
161,6.9352,6
162,6.9783,4
163,7.0213,4
164,7.0644,2
165,7.1074,3
166,7.1505,6
167,7.1935,1
168,7.2366,2
169,7.2797,8
170,7.3227,5
171,7.3658,5
172,7.4088,4
173,7.4519,4
174,7.4949,0
175,7.538,4
176,7.5811,4
177,7.6241,2
178,7.6672,2
179,7.7102,4
180,7.7533,2
181,7.7963,3
182,7.8394,5
183,7.8824,6
184,7.9255,0
185,7.9686,5
186,8.0116,3
187,8.0547,4
188,8.0977,4
189,8.1408,4
