ch,energy,intensity
1,0.0463,0
2,0.0893,0
3,0.1324,0
4,0.1754,0
5,0.2185,0
6,0.2615,0
7,0.3046,0
8,0.3476,0
9,0.3907,0
10,0.4338,0
11,0.4768,0
12,0.5199,0
13,0.5629,0
14,0.606,0
15,0.649,0
16,0.6921,0
17,0.7351,0
18,0.7782,0
19,0.8213,0
20,0.8643,0
21,0.9074,0
22,0.9504,0
23,0.9935,0
24,1.0365,0
25,1.0796,0
26,1.1227,0
27,1.1657,0
28,1.2088,0
29,1.2518,0
30,1.2949,0
31,1.3379,0
32,1.381,0
33,1.424,0
34,1.4671,0
35,1.5102,0
36,1.5532,0
37,1.5963,0
38,1.6393,1
39,1.6824,0
40,1.7254,4
41,1.7685,10
42,1.8115,14
43,1.8546,9
44,1.8977,7
45,1.9407,8
46,1.9838,21
47,2.0268,19
48,2.0699,17
49,2.1129,11
50,2.156,11
51,2.1991,6
52,2.2421,12
53,2.2852,17
54,2.3282,7
55,2.3713,10
56,2.4143,10
57,2.4574,10
58,2.5004,7
59,2.5435,13
60,2.5866,10
61,2.6296,6
62,2.6727,17
63,2.7157,14
64,2.7588,10
65,2.8018,13
66,2.8449,10
67,2.8879,20
68,2.931,9
69,2.9741,8
70,3.0171,15
71,3.0602,9
72,3.1032,12
73,3.1463,17
74,3.1893,7
75,3.2324,11
76,3.2755,15
77,3.3185,6
78,3.3616,14
79,3.4046,9
80,3.4477,10
81,3.4907,12
82,3.5338,21
83,3.5768,13
84,3.6199,14
85,3.663,13
86,3.706,7
87,3.7491,23
88,3.7921,8
89,3.8352,9
90,3.8782,6
91,3.9213,10
92,3.9643,12
93,4.0074,15
94,4.0505,14
95,4.0935,14
96,4.1366,13
97,4.1796,8
98,4.2227,17
99,4.2657,10
100,4.3088,19
101,4.3519,15
102,4.3949,13
103,4.438,14
104,4.481,8
105,4.5241,9
106,4.5671,14
107,4.6102,13
108,4.6532,18
109,4.6963,11
110,4.7394,11
111,4.7824,13
112,4.8255,11
113,4.8685,7
114,4.9116,13
115,4.9546,19
116,4.9977,15
117,5.0407,15
118,5.0838,10
119,5.1269,19
120,5.1699,13
121,5.213,7
122,5.256,18
123,5.2991,12
124,5.3421,13
125,5.3852,10
126,5.4283,16
127,5.4713,14
128,5.5144,10
129,5.5574,8
130,5.6005,16
131,5.6435,14
132,5.6866,14
133,5.7296,15
134,5.7727,12
135,5.8158,14
136,5.8588,9
137,5.9019,7
138,5.9449,24
139,5.988,12
140,6.031,11
141,6.0741,9
142,6.1171,10
143,6.1602,12
144,6.2033,13
145,6.2463,16
146,6.2894,9
147,6.3324,12
148,6.3755,13
149,6.4185,10
150,6.4616,10
151,6.5047,15
152,6.5477,17
153,6.5908,7
154,6.6338,12
155,6.6769,11
156,6.7199,8
157,6.763,17
158,6.806,16
159,6.8491,14
160,6.8922,12
161,6.9352,15
162,6.9783,14
163,7.0213,8
164,7.0644,19
165,7.1074,13
166,7.1505,15
167,7.1935,11
168,7.2366,10
169,7.2797,16
170,7.3227,6
171,7.3658,8
172,7.4088,15
173,7.4519,10
174,7.4949,11
175,7.538,11
176,7.5811,10
177,7.6241,12
178,7.6672,13
179,7.7102,14
180,7.7533,13
181,7.7963,10
182,7.8394,19
183,7.8824,9
184,7.9255,14
185,7.9686,12
186,8.0116,9
187,8.0547,12
188,8.0977,15
189,8.1408,12
