ch,energy,intensity
1,0.0463,0
2,0.0893,0
3,0.1324,0
4,0.1754,0
5,0.2185,0
6,0.2615,0
7,0.3046,0
8,0.3476,0
9,0.3907,0
10,0.4338,0
11,0.4768,0
12,0.5199,0
13,0.5629,0
14,0.606,0
15,0.649,0
16,0.6921,0
17,0.7351,0
18,0.7782,0
19,0.8213,0
20,0.8643,0
21,0.9074,0
22,0.9504,0
23,0.9935,0
24,1.0365,0
25,1.0796,0
26,1.1227,0
27,1.1657,0
28,1.2088,0
29,1.2518,0
30,1.2949,0
31,1.3379,0
32,1.381,0
33,1.424,0
34,1.4671,0
35,1.5102,0
36,1.5532,0
37,1.5963,0
38,1.6393,1
39,1.6824,2
40,1.7254,5
41,1.7685,11
42,1.8115,7
43,1.8546,14
44,1.8977,16
45,1.9407,14
46,1.9838,7
47,2.0268,15
48,2.0699,8
49,2.1129,17
50,2.156,14
51,2.1991,6
52,2.2421,9
53,2.2852,16
54,2.3282,12
55,2.3713,14
56,2.4143,15
57,2.4574,12
58,2.5004,16
59,2.5435,12
60,2.5866,11
61,2.6296,12
62,2.6727,15
63,2.7157,8
64,2.7588,19
65,2.8018,18
66,2.8449,14
67,2.8879,9
68,2.931,15
69,2.9741,15
70,3.0171,10
71,3.0602,15
72,3.1032,14
73,3.1463,10
74,3.1893,12
75,3.2324,15
76,3.2755,14
77,3.3185,19
78,3.3616,15
79,3.4046,11
80,3.4477,11
81,3.4907,25
82,3.5338,16
83,3.5768,12
84,3.6199,12
85,3.663,16
86,3.706,24
87,3.7491,12
88,3.7921,13
89,3.8352,20
90,3.8782,21
91,3.9213,14
92,3.9643,11
93,4.0074,15
94,4.0505,16
95,4.0935,14
96,4.1366,18
97,4.1796,12
98,4.2227,15
99,4.2657,12
100,4.3088,20
101,4.3519,22
102,4.3949,13
103,4.438,23
104,4.481,10
105,4.5241,14
106,4.5671,11
107,4.6102,11
108,4.6532,17
109,4.6963,16
110,4.7394,13
111,4.7824,15
112,4.8255,22
113,4.8685,14
114,4.9116,12
115,4.9546,18
116,4.9977,16
117,5.0407,15
118,5.0838,16
119,5.1269,21
120,5.1699,8
121,5.213,8
122,5.256,10
123,5.2991,14
124,5.3421,12
125,5.3852,18
126,5.4283,8
127,5.4713,13
128,5.5144,11
129,5.5574,9
130,5.6005,7
131,5.6435,11
132,5.6866,8
133,5.7296,12
134,5.7727,17
135,5.8158,10
136,5.8588,12
137,5.9019,13
138,5.9449,14
139,5.988,10
140,6.031,12
141,6.0741,15
142,6.1171,16
143,6.1602,14
144,6.2033,13
145,6.2463,13
146,6.2894,14
147,6.3324,15
148,6.3755,18
149,6.4185,12
150,6.4616,11
151,6.5047,8
152,6.5477,16
153,6.5908,15
154,6.6338,17
155,6.6769,15
156,6.7199,11
157,6.763,8
158,6.806,20
159,6.8491,20
160,6.8922,17
161,6.9352,15
162,6.9783,7
163,7.0213,7
164,7.0644,13
165,7.1074,10
166,7.1505,11
167,7.1935,11
168,7.2366,9
169,7.2797,15
170,7.3227,6
171,7.3658,9
172,7.4088,13
173,7.4519,15
174,7.4949,13
175,7.538,15
176,7.5811,16
177,7.6241,11
178,7.6672,8
179,7.7102,13
180,7.7533,13
181,7.7963,17
182,7.8394,13
183,7.8824,9
184,7.9255,12
185,7.9686,7
186,8.0116,16
187,8.0547,14
188,8.0977,12
189,8.1408,13
