ch,energy,intensity
1,0.0463,0
2,0.0893,0
3,0.1324,0
4,0.1754,0
5,0.2185,0
6,0.2615,0
7,0.3046,0
8,0.3476,0
9,0.3907,0
10,0.4338,0
11,0.4768,0
12,0.5199,0
13,0.5629,0
14,0.606,0
15,0.649,0
16,0.6921,0
17,0.7351,0
18,0.7782,0
19,0.8213,0
20,0.8643,0
21,0.9074,0
22,0.9504,0
23,0.9935,0
24,1.0365,0
25,1.0796,0
26,1.1227,0
27,1.1657,0
28,1.2088,0
29,1.2518,0
30,1.2949,0
31,1.3379,0
32,1.381,0
33,1.424,0
34,1.4671,0
35,1.5102,0
36,1.5532,0
37,1.5963,1
38,1.6393,5
39,1.6824,6
40,1.7254,6
41,1.7685,9
42,1.8115,15
43,1.8546,13
44,1.8977,5
45,1.9407,16
46,1.9838,4
47,2.0268,12
48,2.0699,16
49,2.1129,16
50,2.156,8
51,2.1991,13
52,2.2421,10
53,2.2852,17
54,2.3282,17
55,2.3713,14
56,2.4143,13
57,2.4574,10
58,2.5004,10
59,2.5435,15
60,2.5866,15
61,2.6296,13
62,2.6727,16
63,2.7157,16
64,2.7588,14
65,2.8018,13
66,2.8449,13
67,2.8879,11
68,2.931,16
69,2.9741,16
70,3.0171,14
71,3.0602,9
72,3.1032,16
73,3.1463,10
74,3.1893,8
75,3.2324,9
76,3.2755,13
77,3.3185,10
78,3.3616,18
79,3.4046,17
80,3.4477,16
81,3.4907,12
82,3.5338,19
83,3.5768,12
84,3.6199,19
85,3.663,18
86,3.706,13
87,3.7491,9
88,3.7921,12
89,3.8352,16
90,3.8782,15
91,3.9213,13
92,3.9643,13
93,4.0074,19
94,4.0505,11
95,4.0935,11
96,4.1366,19
97,4.1796,11
98,4.2227,17
99,4.2657,17
100,4.3088,26
101,4.3519,12
102,4.3949,9
103,4.438,10
104,4.481,6
105,4.5241,10
106,4.5671,17
107,4.6102,16
108,4.6532,11
109,4.6963,20
110,4.7394,20
111,4.7824,14
112,4.8255,17
113,4.8685,12
114,4.9116,15
115,4.9546,11
116,4.9977,16
117,5.0407,15
118,5.0838,18
119,5.1269,12
120,5.1699,15
121,5.213,23
122,5.256,10
123,5.2991,11
124,5.3421,15
125,5.3852,14
126,5.4283,20
127,5.4713,7
128,5.5144,11
129,5.5574,15
130,5.6005,3
131,5.6435,15
132,5.6866,16
133,5.7296,10
134,5.7727,11
135,5.8158,11
136,5.8588,19
137,5.9019,12
138,5.9449,16
139,5.988,13
140,6.031,17
141,6.0741,12
142,6.1171,13
143,6.1602,19
144,6.2033,14
145,6.2463,11
146,6.2894,12
147,6.3324,21
148,6.3755,8
149,6.4185,14
150,6.4616,16
151,6.5047,19
152,6.5477,11
153,6.5908,9
154,6.6338,20
155,6.6769,8
156,6.7199,14
157,6.763,12
158,6.806,15
159,6.8491,9
160,6.8922,12
161,6.9352,11
162,6.9783,14
163,7.0213,7
164,7.0644,19
165,7.1074,14
166,7.1505,16
167,7.1935,15
168,7.2366,14
169,7.2797,16
170,7.3227,11
171,7.3658,11
172,7.4088,12
173,7.4519,14
174,7.4949,10
175,7.538,6
176,7.5811,15
177,7.6241,13
178,7.6672,13
179,7.7102,11
180,7.7533,18
181,7.7963,10
182,7.8394,11
183,7.8824,14
184,7.9255,10
185,7.9686,9
186,8.0116,9
187,8.0547,11
188,8.0977,13
189,8.1408,16
