ch,energy,intensity
1,0.0463,0
2,0.0893,0
3,0.1324,0
4,0.1754,0
5,0.2185,0
6,0.2615,0
7,0.3046,0
8,0.3476,0
9,0.3907,0
10,0.4338,0
11,0.4768,0
12,0.5199,0
13,0.5629,0
14,0.606,0
15,0.649,0
16,0.6921,0
17,0.7351,0
18,0.7782,0
19,0.8213,0
20,0.8643,0
21,0.9074,0
22,0.9504,0
23,0.9935,0
24,1.0365,0
25,1.0796,0
26,1.1227,0
27,1.1657,0
28,1.2088,0
29,1.2518,0
30,1.2949,0
31,1.3379,0
32,1.381,0
33,1.424,0
34,1.4671,0
35,1.5102,0
36,1.5532,0
37,1.5963,0
38,1.6393,1
39,1.6824,5
40,1.7254,2
41,1.7685,6
42,1.8115,4
43,1.8546,11
44,1.8977,13
45,1.9407,9
46,1.9838,10
47,2.0268,12
48,2.0699,12
49,2.1129,4
50,2.156,12
51,2.1991,12
52,2.2421,15
53,2.2852,13
54,2.3282,9
55,2.3713,20
56,2.4143,9
57,2.4574,11
58,2.5004,12
59,2.5435,10
60,2.5866,7
61,2.6296,8
62,2.6727,9
63,2.7157,20
64,2.7588,19
65,2.8018,12
66,2.8449,17
67,2.8879,12
68,2.931,28
69,2.9741,10
70,3.0171,11
71,3.0602,9
72,3.1032,15
73,3.1463,11
74,3.1893,9
75,3.2324,15
76,3.2755,13
77,3.3185,12
78,3.3616,21
79,3.4046,14
80,3.4477,12
81,3.4907,11
82,3.5338,14
83,3.5768,13
84,3.6199,8
85,3.663,8
86,3.706,11
87,3.7491,12
88,3.7921,10
89,3.8352,13
90,3.8782,21
91,3.9213,10
92,3.9643,18
93,4.0074,7
94,4.0505,19
95,4.0935,12
96,4.1366,9
97,4.1796,17
98,4.2227,8
99,4.2657,6
100,4.3088,13
101,4.3519,16
102,4.3949,17
103,4.438,14
104,4.481,11
105,4.5241,13
106,4.5671,9
107,4.6102,16
108,4.6532,9
109,4.6963,15
110,4.7394,7
111,4.7824,17
112,4.8255,13
113,4.8685,17
114,4.9116,15
115,4.9546,18
116,4.9977,14
117,5.0407,12
118,5.0838,11
119,5.1269,9
120,5.1699,12
121,5.213,12
122,5.256,14
123,5.2991,12
124,5.3421,14
125,5.3852,12
126,5.4283,7
127,5.4713,10
128,5.5144,4
129,5.5574,8
130,5.6005,14
131,5.6435,15
132,5.6866,16
133,5.7296,9
134,5.7727,8
135,5.8158,21
136,5.8588,10
137,5.9019,6
138,5.9449,17
139,5.988,18
140,6.031,12
141,6.0741,10
142,6.1171,11
143,6.1602,14
144,6.2033,13
145,6.2463,13
146,6.2894,8
147,6.3324,16
148,6.3755,10
149,6.4185,14
150,6.4616,9
151,6.5047,13
152,6.5477,12
153,6.5908,10
154,6.6338,13
155,6.6769,17
156,6.7199,14
157,6.763,9
158,6.806,13
159,6.8491,11
160,6.8922,21
161,6.9352,11
162,6.9783,12
163,7.0213,14
164,7.0644,9
165,7.1074,16
166,7.1505,21
167,7.1935,12
168,7.2366,9
169,7.2797,18
170,7.3227,12
171,7.3658,15
172,7.4088,9
173,7.4519,18
174,7.4949,11
175,7.538,20
176,7.5811,10
177,7.6241,13
178,7.6672,6
179,7.7102,13
180,7.7533,13
181,7.7963,18
182,7.8394,15
183,7.8824,10
184,7.9255,10
185,7.9686,11
186,8.0116,16
187,8.0547,8
188,8.0977,6
189,8.1408,10
