ch,energy,intensity
1,0.0463,0
2,0.0893,0
3,0.1324,0
4,0.1754,0
5,0.2185,0
6,0.2615,0
7,0.3046,0
8,0.3476,0
9,0.3907,0
10,0.4338,0
11,0.4768,0
12,0.5199,0
13,0.5629,0
14,0.606,0
15,0.649,0
16,0.6921,0
17,0.7351,0
18,0.7782,0
19,0.8213,0
20,0.8643,0
21,0.9074,0
22,0.9504,0
23,0.9935,0
24,1.0365,0
25,1.0796,0
26,1.1227,0
27,1.1657,0
28,1.2088,0
29,1.2518,0
30,1.2949,0
31,1.3379,0
32,1.381,0
33,1.424,0
34,1.4671,0
35,1.5102,0
36,1.5532,0
37,1.5963,0
38,1.6393,0
39,1.6824,0
40,1.7254,5
41,1.7685,15
42,1.8115,6
43,1.8546,20
44,1.8977,11
45,1.9407,11
46,1.9838,17
47,2.0268,9
48,2.0699,17
49,2.1129,15
50,2.156,11
51,2.1991,22
52,2.2421,20
53,2.2852,14
54,2.3282,15
55,2.3713,22
56,2.4143,12
57,2.4574,10
58,2.5004,16
59,2.5435,9
60,2.5866,16
61,2.6296,11
62,2.6727,9
63,2.7157,7
64,2.7588,16
65,2.8018,15
66,2.8449,12
67,2.8879,13
68,2.931,13
69,2.9741,11
70,3.0171,18
71,3.0602,15
72,3.1032,19
73,3.1463,19
74,3.1893,20
75,3.2324,13
76,3.2755,16
77,3.3185,14
78,3.3616,13
79,3.4046,15
80,3.4477,14
81,3.4907,17
82,3.5338,10
83,3.5768,12
84,3.6199,11
85,3.663,19
86,3.706,17
87,3.7491,16
88,3.7921,19
89,3.8352,11
90,3.8782,7
91,3.9213,12
92,3.9643,18
93,4.0074,17
94,4.0505,11
95,4.0935,19
96,4.1366,17
97,4.1796,19
98,4.2227,10
99,4.2657,14
100,4.3088,14
101,4.3519,12
102,4.3949,16
103,4.438,12
104,4.481,17
105,4.5241,11
106,4.5671,19
107,4.6102,10
108,4.6532,15
109,4.6963,9
110,4.7394,24
111,4.7824,20
112,4.8255,13
113,4.8685,15
114,4.9116,15
115,4.9546,21
116,4.9977,19
117,5.0407,16
118,5.0838,17
119,5.1269,9
120,5.1699,17
121,5.213,13
122,5.256,18
123,5.2991,16
124,5.3421,19
125,5.3852,16
126,5.4283,14
127,5.4713,19
128,5.5144,9
129,5.5574,17
130,5.6005,15
131,5.6435,7
132,5.6866,15
133,5.7296,19
134,5.7727,16
135,5.8158,19
136,5.8588,20
137,5.9019,23
138,5.9449,13
139,5.988,20
140,6.031,11
141,6.0741,13
142,6.1171,14
143,6.1602,11
144,6.2033,19
145,6.2463,12
146,6.2894,14
147,6.3324,12
148,6.3755,13
149,6.4185,12
150,6.4616,13
151,6.5047,13
152,6.5477,22
153,6.5908,18
154,6.6338,13
155,6.6769,14
156,6.7199,12
157,6.763,9
158,6.806,9
159,6.8491,10
160,6.8922,16
161,6.9352,11
162,6.9783,8
163,7.0213,17
164,7.0644,11
165,7.1074,12
166,7.1505,14
167,7.1935,12
168,7.2366,16
169,7.2797,17
170,7.3227,8
171,7.3658,12
172,7.4088,13
173,7.4519,13
174,7.4949,15
175,7.538,17
176,7.5811,12
177,7.6241,22
178,7.6672,15
179,7.7102,14
180,7.7533,18
181,7.7963,9
182,7.8394,16
183,7.8824,20
184,7.9255,17
185,7.9686,9
186,8.0116,11
187,8.0547,12
188,8.0977,17
189,8.1408,13
