ch,energy,intensity
1,0.0463,0
2,0.0893,0
3,0.1324,0
4,0.1754,0
5,0.2185,0
6,0.2615,0
7,0.3046,0
8,0.3476,0
9,0.3907,0
10,0.4338,0
11,0.4768,0
12,0.5199,0
13,0.5629,0
14,0.606,0
15,0.649,0
16,0.6921,0
17,0.7351,0
18,0.7782,0
19,0.8213,0
20,0.8643,0
21,0.9074,0
22,0.9504,0
23,0.9935,0
24,1.0365,0
25,1.0796,0
26,1.1227,0
27,1.1657,0
28,1.2088,0
29,1.2518,0
30,1.2949,0
31,1.3379,0
32,1.381,0
33,1.424,0
34,1.4671,0
35,1.5102,0
36,1.5532,0
37,1.5963,0
38,1.6393,2
39,1.6824,3
40,1.7254,3
41,1.7685,8
42,1.8115,3
43,1.8546,5
44,1.8977,6
45,1.9407,9
46,1.9838,6
47,2.0268,5
48,2.0699,5
49,2.1129,12
50,2.156,6
51,2.1991,4
52,2.2421,11
53,2.2852,7
54,2.3282,10
55,2.3713,6
56,2.4143,6
57,2.4574,10
58,2.5004,14
59,2.5435,7
60,2.5866,3
61,2.6296,7
62,2.6727,7
63,2.7157,6
64,2.7588,8
65,2.8018,4
66,2.8449,10
67,2.8879,6
68,2.931,9
69,2.9741,13
70,3.0171,8
71,3.0602,12
72,3.1032,14
73,3.1463,6
74,3.1893,12
75,3.2324,10
76,3.2755,4
77,3.3185,6
78,3.3616,9
79,3.4046,9
80,3.4477,4
81,3.4907,10
82,3.5338,11
83,3.5768,8
84,3.6199,12
85,3.663,8
86,3.706,7
87,3.7491,11
88,3.7921,15
89,3.8352,8
90,3.8782,11
91,3.9213,9
92,3.9643,13
93,4.0074,9
94,4.0505,3
95,4.0935,11
96,4.1366,4
97,4.1796,9
98,4.2227,5
99,4.2657,8
100,4.3088,7
101,4.3519,7
102,4.3949,11
103,4.438,8
104,4.481,12
105,4.5241,12
106,4.5671,0
107,4.6102,6
108,4.6532,12
109,4.6963,12
110,4.7394,14
111,4.7824,6
112,4.8255,8
113,4.8685,7
114,4.9116,9
115,4.9546,10
116,4.9977,5
117,5.0407,8
118,5.0838,8
119,5.1269,7
120,5.1699,7
121,5.213,6
122,5.256,11
123,5.2991,14
124,5.3421,8
125,5.3852,10
126,5.4283,9
127,5.4713,12
128,5.5144,6
129,5.5574,5
130,5.6005,8
131,5.6435,10
132,5.6866,6
133,5.7296,6
134,5.7727,6
135,5.8158,13
136,5.8588,10
137,5.9019,8
138,5.9449,8
139,5.988,10
140,6.031,4
141,6.0741,7
142,6.1171,11
143,6.1602,9
144,6.2033,10
145,6.2463,7
146,6.2894,8
147,6.3324,3
148,6.3755,7
149,6.4185,8
150,6.4616,11
151,6.5047,9
152,6.5477,9
153,6.5908,6
154,6.6338,8
155,6.6769,6
156,6.7199,9
157,6.763,12
158,6.806,12
159,6.8491,14
160,6.8922,12
161,6.9352,10
162,6.9783,8
163,7.0213,5
164,7.0644,7
165,7.1074,10
166,7.1505,11
167,7.1935,8
168,7.2366,7
169,7.2797,6
170,7.3227,9
171,7.3658,3
172,7.4088,8
173,7.4519,6
174,7.4949,7
175,7.538,9
176,7.5811,5
177,7.6241,5
178,7.6672,11
179,7.7102,8
180,7.7533,6
181,7.7963,5
182,7.8394,10
183,7.8824,14
184,7.9255,6
185,7.9686,6
186,8.0116,6
187,8.0547,5
188,8.0977,8
189,8.1408,7
