ch,energy,intensity
1,0.0463,0
2,0.0893,0
3,0.1324,0
4,0.1754,0
5,0.2185,0
6,0.2615,0
7,0.3046,0
8,0.3476,0
9,0.3907,0
10,0.4338,0
11,0.4768,0
12,0.5199,0
13,0.5629,0
14,0.606,0
15,0.649,0
16,0.6921,0
17,0.7351,0
18,0.7782,0
19,0.8213,0
20,0.8643,0
21,0.9074,0
22,0.9504,0
23,0.9935,0
24,1.0365,0
25,1.0796,0
26,1.1227,0
27,1.1657,0
28,1.2088,0
29,1.2518,0
30,1.2949,0
31,1.3379,0
32,1.381,0
33,1.424,0
34,1.4671,0
35,1.5102,0
36,1.5532,0
37,1.5963,0
38,1.6393,0
39,1.6824,2
40,1.7254,1
41,1.7685,6
42,1.8115,7
43,1.8546,10
44,1.8977,8
45,1.9407,10
46,1.9838,12
47,2.0268,8
48,2.0699,8
49,2.1129,9
50,2.156,8
51,2.1991,10
52,2.2421,10
53,2.2852,13
54,2.3282,14
55,2.3713,10
56,2.4143,10
57,2.4574,18
58,2.5004,13
59,2.5435,7
60,2.5866,12
61,2.6296,14
62,2.6727,12
63,2.7157,15
64,2.7588,12
65,2.8018,15
66,2.8449,11
67,2.8879,6
68,2.931,17
69,2.9741,16
70,3.0171,11
71,3.0602,8
72,3.1032,9
73,3.1463,15
74,3.1893,16
75,3.2324,15
76,3.2755,18
77,3.3185,8
78,3.3616,9
79,3.4046,11
80,3.4477,12
81,3.4907,12
82,3.5338,13
83,3.5768,14
84,3.6199,17
85,3.663,11
86,3.706,13
87,3.7491,14
88,3.7921,14
89,3.8352,16
90,3.8782,14
91,3.9213,14
92,3.9643,11
93,4.0074,12
94,4.0505,15
95,4.0935,11
96,4.1366,14
97,4.1796,12
98,4.2227,14
99,4.2657,16
100,4.3088,15
101,4.3519,8
102,4.3949,11
103,4.438,14
104,4.481,21
105,4.5241,15
106,4.5671,13
107,4.6102,13
108,4.6532,17
109,4.6963,17
110,4.7394,9
111,4.7824,10
112,4.8255,11
113,4.8685,19
114,4.9116,12
115,4.9546,13
116,4.9977,14
117,5.0407,16
118,5.0838,15
119,5.1269,17
120,5.1699,11
121,5.213,11
122,5.256,18
123,5.2991,14
124,5.3421,8
125,5.3852,11
126,5.4283,18
127,5.4713,21
128,5.5144,20
129,5.5574,17
130,5.6005,15
131,5.6435,14
132,5.6866,7
133,5.7296,12
134,5.7727,9
135,5.8158,10
136,5.8588,11
137,5.9019,6
138,5.9449,13
139,5.988,12
140,6.031,13
141,6.0741,12
142,6.1171,11
143,6.1602,13
144,6.2033,10
145,6.2463,12
146,6.2894,6
147,6.3324,10
148,6.3755,11
149,6.4185,9
150,6.4616,10
151,6.5047,15
152,6.5477,11
153,6.5908,8
154,6.6338,13
155,6.6769,12
156,6.7199,11
157,6.763,12
158,6.806,17
159,6.8491,7
160,6.8922,10
161,6.9352,11
162,6.9783,17
163,7.0213,15
164,7.0644,18
165,7.1074,7
166,7.1505,10
167,7.1935,13
168,7.2366,11
169,7.2797,17
170,7.3227,13
171,7.3658,11
172,7.4088,10
173,7.4519,13
174,7.4949,10
175,7.538,10
176,7.5811,11
177,7.6241,17
178,7.6672,7
179,7.7102,10
180,7.7533,16
181,7.7963,15
182,7.8394,13
183,7.8824,13
184,7.9255,11
185,7.9686,10
186,8.0116,15
187,8.0547,13
188,8.0977,9
189,8.1408,8
