ch,energy,intensity
1,0.0463,0
2,0.0893,0
3,0.1324,0
4,0.1754,0
5,0.2185,0
6,0.2615,0
7,0.3046,0
8,0.3476,0
9,0.3907,0
10,0.4338,0
11,0.4768,0
12,0.5199,0
13,0.5629,0
14,0.606,0
15,0.649,0
16,0.6921,0
17,0.7351,0
18,0.7782,0
19,0.8213,0
20,0.8643,0
21,0.9074,0
22,0.9504,0
23,0.9935,0
24,1.0365,0
25,1.0796,0
26,1.1227,0
27,1.1657,0
28,1.2088,0
29,1.2518,0
30,1.2949,0
31,1.3379,0
32,1.381,0
33,1.424,0
34,1.4671,0
35,1.5102,0
36,1.5532,0
37,1.5963,0
38,1.6393,1
39,1.6824,3
40,1.7254,10
41,1.7685,5
42,1.8115,10
43,1.8546,4
44,1.8977,10
45,1.9407,10
46,1.9838,9
47,2.0268,8
48,2.0699,11
49,2.1129,7
50,2.156,7
51,2.1991,10
52,2.2421,7
53,2.2852,11
54,2.3282,8
55,2.3713,11
56,2.4143,7
57,2.4574,8
58,2.5004,7
59,2.5435,9
60,2.5866,11
61,2.6296,7
62,2.6727,5
63,2.7157,5
64,2.7588,6
65,2.8018,12
66,2.8449,4
67,2.8879,11
68,2.931,10
69,2.9741,10
70,3.0171,12
71,3.0602,12
72,3.1032,16
73,3.1463,8
74,3.1893,4
75,3.2324,11
76,3.2755,9
77,3.3185,5
78,3.3616,9
79,3.4046,15
80,3.4477,15
81,3.4907,12
82,3.5338,9
83,3.5768,11
84,3.6199,7
85,3.663,16
86,3.706,10
87,3.7491,17
88,3.7921,17
89,3.8352,7
90,3.8782,8
91,3.9213,8
92,3.9643,11
93,4.0074,11
94,4.0505,8
95,4.0935,15
96,4.1366,5
97,4.1796,10
98,4.2227,17
99,4.2657,5
100,4.3088,9
101,4.3519,13
102,4.3949,13
103,4.438,6
104,4.481,7
105,4.5241,12
106,4.5671,11
107,4.6102,10
108,4.6532,12
109,4.6963,9
110,4.7394,18
111,4.7824,11
112,4.8255,9
113,4.8685,10
114,4.9116,15
115,4.9546,7
116,4.9977,11
117,5.0407,11
118,5.0838,9
119,5.1269,14
120,5.1699,13
121,5.213,17
122,5.256,11
123,5.2991,11
124,5.3421,7
125,5.3852,11
126,5.4283,15
127,5.4713,6
128,5.5144,16
129,5.5574,18
130,5.6005,11
131,5.6435,10
132,5.6866,9
133,5.7296,18
134,5.7727,11
135,5.8158,11
136,5.8588,10
137,5.9019,12
138,5.9449,9
139,5.988,7
140,6.031,8
141,6.0741,5
142,6.1171,7
143,6.1602,9
144,6.2033,13
145,6.2463,11
146,6.2894,4
147,6.3324,7
148,6.3755,13
149,6.4185,15
150,6.4616,14
151,6.5047,10
152,6.5477,15
153,6.5908,9
154,6.6338,12
155,6.6769,8
156,6.7199,10
157,6.763,5
158,6.806,17
159,6.8491,6
160,6.8922,14
161,6.9352,12
162,6.9783,13
163,7.0213,11
164,7.0644,15
165,7.1074,14
166,7.1505,13
167,7.1935,8
168,7.2366,15
169,7.2797,7
170,7.3227,15
171,7.3658,8
172,7.4088,8
173,7.4519,15
174,7.4949,8
175,7.538,9
176,7.5811,8
177,7.6241,6
178,7.6672,8
179,7.7102,6
180,7.7533,8
181,7.7963,12
182,7.8394,12
183,7.8824,9
184,7.9255,13
185,7.9686,5
186,8.0116,13
187,8.0547,8
188,8.0977,10
189,8.1408,8
