ch,energy,intensity
1,0.0463,0
2,0.0893,0
3,0.1324,0
4,0.1754,0
5,0.2185,0
6,0.2615,0
7,0.3046,0
8,0.3476,0
9,0.3907,0
10,0.4338,0
11,0.4768,0
12,0.5199,0
13,0.5629,0
14,0.606,0
15,0.649,0
16,0.6921,0
17,0.7351,0
18,0.7782,0
19,0.8213,0
20,0.8643,0
21,0.9074,0
22,0.9504,0
23,0.9935,0
24,1.0365,0
25,1.0796,0
26,1.1227,0
27,1.1657,0
28,1.2088,0
29,1.2518,0
30,1.2949,0
31,1.3379,0
32,1.381,0
33,1.424,0
34,1.4671,0
35,1.5102,0
36,1.5532,0
37,1.5963,0
38,1.6393,0
39,1.6824,2
40,1.7254,6
41,1.7685,7
42,1.8115,11
43,1.8546,14
44,1.8977,9
45,1.9407,14
46,1.9838,9
47,2.0268,19
48,2.0699,8
49,2.1129,14
50,2.156,10
51,2.1991,12
52,2.2421,5
53,2.2852,19
54,2.3282,13
55,2.3713,11
56,2.4143,10
57,2.4574,13
58,2.5004,19
59,2.5435,13
60,2.5866,13
61,2.6296,17
62,2.6727,19
63,2.7157,14
64,2.7588,17
65,2.8018,10
66,2.8449,8
67,2.8879,19
68,2.931,13
69,2.9741,20
70,3.0171,19
71,3.0602,17
72,3.1032,11
73,3.1463,13
74,3.1893,13
75,3.2324,16
76,3.2755,14
77,3.3185,18
78,3.3616,10
79,3.4046,10
80,3.4477,16
81,3.4907,9
82,3.5338,9
83,3.5768,18
84,3.6199,13
85,3.663,20
86,3.706,15
87,3.7491,16
88,3.7921,18
89,3.8352,11
90,3.8782,19
91,3.9213,6
92,3.9643,15
93,4.0074,15
94,4.0505,15
95,4.0935,10
96,4.1366,7
97,4.1796,13
98,4.2227,9
99,4.2657,15
100,4.3088,14
101,4.3519,8
102,4.3949,18
103,4.438,16
104,4.481,12
105,4.5241,14
106,4.5671,18
107,4.6102,16
108,4.6532,12
109,4.6963,12
110,4.7394,27
111,4.7824,12
112,4.8255,16
113,4.8685,18
114,4.9116,14
115,4.9546,14
116,4.9977,16
117,5.0407,16
118,5.0838,12
119,5.1269,16
120,5.1699,16
121,5.213,16
122,5.256,11
123,5.2991,17
124,5.3421,13
125,5.3852,7
126,5.4283,18
127,5.4713,15
128,5.5144,10
129,5.5574,10
130,5.6005,7
131,5.6435,17
132,5.6866,17
133,5.7296,13
134,5.7727,12
135,5.8158,14
136,5.8588,10
137,5.9019,9
138,5.9449,15
139,5.988,16
140,6.031,21
141,6.0741,18
142,6.1171,11
143,6.1602,20
144,6.2033,10
145,6.2463,13
146,6.2894,19
147,6.3324,7
148,6.3755,8
149,6.4185,21
150,6.4616,11
151,6.5047,9
152,6.5477,14
153,6.5908,12
154,6.6338,8
155,6.6769,11
156,6.7199,14
157,6.763,11
158,6.806,10
159,6.8491,15
160,6.8922,17
161,6.9352,29
162,6.9783,17
163,7.0213,13
164,7.0644,11
165,7.1074,17
166,7.1505,27
167,7.1935,8
168,7.2366,10
169,7.2797,14
170,7.3227,10
171,7.3658,17
172,7.4088,13
173,7.4519,18
174,7.4949,12
175,7.538,6
176,7.5811,13
177,7.6241,14
178,7.6672,13
179,7.7102,15
180,7.7533,10
181,7.7963,14
182,7.8394,11
183,7.8824,9
184,7.9255,13
185,7.9686,8
186,8.0116,16
187,8.0547,20
188,8.0977,19
189,8.1408,12
