ch,energy,intensity
1,0.0463,0
2,0.0893,0
3,0.1324,0
4,0.1754,0
5,0.2185,0
6,0.2615,0
7,0.3046,0
8,0.3476,0
9,0.3907,0
10,0.4338,0
11,0.4768,0
12,0.5199,0
13,0.5629,0
14,0.606,0
15,0.649,0
16,0.6921,0
17,0.7351,0
18,0.7782,0
19,0.8213,0
20,0.8643,0
21,0.9074,0
22,0.9504,0
23,0.9935,0
24,1.0365,0
25,1.0796,0
26,1.1227,0
27,1.1657,0
28,1.2088,0
29,1.2518,0
30,1.2949,0
31,1.3379,0
32,1.381,0
33,1.424,0
34,1.4671,0
35,1.5102,0
36,1.5532,0
37,1.5963,0
38,1.6393,0
39,1.6824,1
40,1.7254,5
41,1.7685,6
42,1.8115,11
43,1.8546,7
44,1.8977,8
45,1.9407,18
46,1.9838,16
47,2.0268,10
48,2.0699,12
49,2.1129,17
50,2.156,14
51,2.1991,16
52,2.2421,14
53,2.2852,19
54,2.3282,13
55,2.3713,7
56,2.4143,15
57,2.4574,16
58,2.5004,10
59,2.5435,19
60,2.5866,12
61,2.6296,12
62,2.6727,8
63,2.7157,12
64,2.7588,15
65,2.8018,14
66,2.8449,14
67,2.8879,15
68,2.931,17
69,2.9741,19
70,3.0171,9
71,3.0602,17
72,3.1032,12
73,3.1463,10
74,3.1893,9
75,3.2324,14
76,3.2755,13
77,3.3185,21
78,3.3616,17
79,3.4046,14
80,3.4477,15
81,3.4907,12
82,3.5338,16
83,3.5768,9
84,3.6199,12
85,3.663,13
86,3.706,12
87,3.7491,17
88,3.7921,10
89,3.8352,15
90,3.8782,15
91,3.9213,13
92,3.9643,13
93,4.0074,4
94,4.0505,17
95,4.0935,8
96,4.1366,20
97,4.1796,12
98,4.2227,6
99,4.2657,10
100,4.3088,17
101,4.3519,15
102,4.3949,9
103,4.438,26
104,4.481,12
105,4.5241,14
106,4.5671,15
107,4.6102,17
108,4.6532,20
109,4.6963,16
110,4.7394,13
111,4.7824,15
112,4.8255,11
113,4.8685,13
114,4.9116,13
115,4.9546,13
116,4.9977,7
117,5.0407,12
118,5.0838,15
119,5.1269,13
120,5.1699,6
121,5.213,15
122,5.256,11
123,5.2991,12
124,5.3421,7
125,5.3852,15
126,5.4283,12
127,5.4713,14
128,5.5144,10
129,5.5574,21
130,5.6005,16
131,5.6435,15
132,5.6866,14
133,5.7296,11
134,5.7727,16
135,5.8158,6
136,5.8588,14
137,5.9019,16
138,5.9449,14
139,5.988,9
140,6.031,14
141,6.0741,13
142,6.1171,23
143,6.1602,18
144,6.2033,14
145,6.2463,14
146,6.2894,15
147,6.3324,20
148,6.3755,12
149,6.4185,16
150,6.4616,15
151,6.5047,16
152,6.5477,14
153,6.5908,25
154,6.6338,13
155,6.6769,21
156,6.7199,12
157,6.763,13
158,6.806,20
159,6.8491,16
160,6.8922,11
161,6.9352,11
162,6.9783,16
163,7.0213,16
164,7.0644,14
165,7.1074,17
166,7.1505,12
167,7.1935,12
168,7.2366,8
169,7.2797,15
170,7.3227,14
171,7.3658,14
172,7.4088,19
173,7.4519,10
174,7.4949,14
175,7.538,18
176,7.5811,18
177,7.6241,13
178,7.6672,10
179,7.7102,12
180,7.7533,13
181,7.7963,12
182,7.8394,9
183,7.8824,15
184,7.9255,9
185,7.9686,14
186,8.0116,14
187,8.0547,13
188,8.0977,11
189,8.1408,21
