ch,energy,intensity
1,0.0463,0
2,0.0893,0
3,0.1324,0
4,0.1754,0
5,0.2185,0
6,0.2615,0
7,0.3046,0
8,0.3476,0
9,0.3907,0
10,0.4338,0
11,0.4768,0
12,0.5199,0
13,0.5629,0
14,0.606,0
15,0.649,0
16,0.6921,0
17,0.7351,0
18,0.7782,0
19,0.8213,0
20,0.8643,0
21,0.9074,0
22,0.9504,0
23,0.9935,0
24,1.0365,0
25,1.0796,0
26,1.1227,0
27,1.1657,0
28,1.2088,0
29,1.2518,0
30,1.2949,0
31,1.3379,0
32,1.381,0
33,1.424,0
34,1.4671,0
35,1.5102,0
36,1.5532,0
37,1.5963,0
38,1.6393,0
39,1.6824,0
40,1.7254,0
41,1.7685,5
42,1.8115,11
43,1.8546,8
44,1.8977,9
45,1.9407,8
46,1.9838,16
47,2.0268,12
48,2.0699,12
49,2.1129,18
50,2.156,9
51,2.1991,19
52,2.2421,14
53,2.2852,11
54,2.3282,6
55,2.3713,10
56,2.4143,11
57,2.4574,16
58,2.5004,8
59,2.5435,8
60,2.5866,4
61,2.6296,14
62,2.6727,9
63,2.7157,10
64,2.7588,10
65,2.8018,15
66,2.8449,16
67,2.8879,12
68,2.931,13
69,2.9741,17
70,3.0171,12
71,3.0602,12
72,3.1032,7
73,3.1463,9
74,3.1893,15
75,3.2324,16
76,3.2755,16
77,3.3185,15
78,3.3616,12
79,3.4046,12
80,3.4477,14
81,3.4907,11
82,3.5338,12
83,3.5768,12
84,3.6199,6
85,3.663,11
86,3.706,17
87,3.7491,10
88,3.7921,14
89,3.8352,6
90,3.8782,12
91,3.9213,14
92,3.9643,7
93,4.0074,15
94,4.0505,12
95,4.0935,18
96,4.1366,11
97,4.1796,12
98,4.2227,11
99,4.2657,14
100,4.3088,7
101,4.3519,21
102,4.3949,14
103,4.438,13
104,4.481,15
105,4.5241,14
106,4.5671,18
107,4.6102,17
108,4.6532,16
109,4.6963,13
110,4.7394,10
111,4.7824,6
112,4.8255,10
113,4.8685,13
114,4.9116,7
115,4.9546,10
116,4.9977,14
117,5.0407,9
118,5.0838,12
119,5.1269,13
120,5.1699,14
121,5.213,22
122,5.256,14
123,5.2991,10
124,5.3421,11
125,5.3852,19
126,5.4283,16
127,5.4713,23
128,5.5144,9
129,5.5574,12
130,5.6005,15
131,5.6435,20
132,5.6866,5
133,5.7296,9
134,5.7727,13
135,5.8158,14
136,5.8588,20
137,5.9019,9
138,5.9449,10
139,5.988,7
140,6.031,12
141,6.0741,9
142,6.1171,16
143,6.1602,16
144,6.2033,15
145,6.2463,7
146,6.2894,17
147,6.3324,5
148,6.3755,9
149,6.4185,8
150,6.4616,11
151,6.5047,9
152,6.5477,6
153,6.5908,16
154,6.6338,17
155,6.6769,12
156,6.7199,15
157,6.763,10
158,6.806,14
159,6.8491,12
160,6.8922,11
161,6.9352,10
162,6.9783,7
163,7.0213,10
164,7.0644,15
165,7.1074,12
166,7.1505,10
167,7.1935,15
168,7.2366,9
169,7.2797,11
170,7.3227,16
171,7.3658,18
172,7.4088,10
173,7.4519,10
174,7.4949,13
175,7.538,21
176,7.5811,13
177,7.6241,13
178,7.6672,15
179,7.7102,11
180,7.7533,14
181,7.7963,16
182,7.8394,16
183,7.8824,15
184,7.9255,4
185,7.9686,12
186,8.0116,14
187,8.0547,9
188,8.0977,12
189,8.1408,13
