ch,energy,intensity
1,0.0463,0
2,0.0893,0
3,0.1324,0
4,0.1754,0
5,0.2185,0
6,0.2615,0
7,0.3046,0
8,0.3476,0
9,0.3907,0
10,0.4338,0
11,0.4768,0
12,0.5199,0
13,0.5629,0
14,0.606,0
15,0.649,0
16,0.6921,0
17,0.7351,0
18,0.7782,0
19,0.8213,0
20,0.8643,0
21,0.9074,0
22,0.9504,0
23,0.9935,0
24,1.0365,0
25,1.0796,0
26,1.1227,0
27,1.1657,0
28,1.2088,0
29,1.2518,0
30,1.2949,0
31,1.3379,0
32,1.381,0
33,1.424,0
34,1.4671,0
35,1.5102,0
36,1.5532,0
37,1.5963,0
38,1.6393,0
39,1.6824,0
40,1.7254,0
41,1.7685,3
42,1.8115,5
43,1.8546,10
44,1.8977,14
45,1.9407,15
46,1.9838,14
47,2.0268,9
48,2.0699,15
49,2.1129,20
50,2.156,12
51,2.1991,15
52,2.2421,15
53,2.2852,12
54,2.3282,11
55,2.3713,13
56,2.4143,13
57,2.4574,7
58,2.5004,14
59,2.5435,9
60,2.5866,23
61,2.6296,27
62,2.6727,14
63,2.7157,20
64,2.7588,16
65,2.8018,13
66,2.8449,23
67,2.8879,20
68,2.931,14
69,2.9741,16
70,3.0171,16
71,3.0602,8
72,3.1032,14
73,3.1463,20
74,3.1893,20
75,3.2324,26
76,3.2755,21
77,3.3185,14
78,3.3616,14
79,3.4046,15
80,3.4477,11
81,3.4907,16
82,3.5338,14
83,3.5768,12
84,3.6199,17
85,3.663,9
86,3.706,14
87,3.7491,15
88,3.7921,17
89,3.8352,12
90,3.8782,14
91,3.9213,23
92,3.9643,16
93,4.0074,17
94,4.0505,14
95,4.0935,17
96,4.1366,14
97,4.1796,15
98,4.2227,14
99,4.2657,12
100,4.3088,10
101,4.3519,16
102,4.3949,19
103,4.438,14
104,4.481,18
105,4.5241,13
106,4.5671,14
107,4.6102,22
108,4.6532,15
109,4.6963,15
110,4.7394,12
111,4.7824,10
112,4.8255,14
113,4.8685,17
114,4.9116,13
115,4.9546,10
116,4.9977,11
117,5.0407,20
118,5.0838,17
119,5.1269,12
120,5.1699,12
121,5.213,13
122,5.256,12
123,5.2991,16
124,5.3421,11
125,5.3852,16
126,5.4283,12
127,5.4713,5
128,5.5144,15
129,5.5574,21
130,5.6005,10
131,5.6435,10
132,5.6866,12
133,5.7296,11
134,5.7727,13
135,5.8158,9
136,5.8588,13
137,5.9019,8
138,5.9449,9
139,5.988,7
140,6.031,19
141,6.0741,10
142,6.1171,14
143,6.1602,14
144,6.2033,17
145,6.2463,11
146,6.2894,15
147,6.3324,17
148,6.3755,15
149,6.4185,13
150,6.4616,16
151,6.5047,18
152,6.5477,15
153,6.5908,10
154,6.6338,13
155,6.6769,10
156,6.7199,18
157,6.763,14
158,6.806,13
159,6.8491,11
160,6.8922,14
161,6.9352,16
162,6.9783,16
163,7.0213,13
164,7.0644,13
165,7.1074,13
166,7.1505,12
167,7.1935,16
168,7.2366,11
169,7.2797,12
170,7.3227,10
171,7.3658,17
172,7.4088,12
173,7.4519,12
174,7.4949,14
175,7.538,11
176,7.5811,15
177,7.6241,15
178,7.6672,19
179,7.7102,22
180,7.7533,19
181,7.7963,13
182,7.8394,15
183,7.8824,18
184,7.9255,14
185,7.9686,12
186,8.0116,15
187,8.0547,7
188,8.0977,13
189,8.1408,21
