ch,energy,intensity
1,0.0463,0
2,0.0893,0
3,0.1324,0
4,0.1754,0
5,0.2185,0
6,0.2615,0
7,0.3046,0
8,0.3476,0
9,0.3907,0
10,0.4338,0
11,0.4768,0
12,0.5199,0
13,0.5629,0
14,0.606,0
15,0.649,0
16,0.6921,0
17,0.7351,0
18,0.7782,0
19,0.8213,0
20,0.8643,0
21,0.9074,0
22,0.9504,0
23,0.9935,0
24,1.0365,0
25,1.0796,0
26,1.1227,0
27,1.1657,0
28,1.2088,0
29,1.2518,0
30,1.2949,0
31,1.3379,0
32,1.381,0
33,1.424,0
34,1.4671,0
35,1.5102,0
36,1.5532,0
37,1.5963,0
38,1.6393,0
39,1.6824,0
40,1.7254,1
41,1.7685,0
42,1.8115,1
43,1.8546,4
44,1.8977,1
45,1.9407,1
46,1.9838,1
47,2.0268,3
48,2.0699,2
49,2.1129,3
50,2.156,0
51,2.1991,1
52,2.2421,3
53,2.2852,1
54,2.3282,3
55,2.3713,4
56,2.4143,3
57,2.4574,2
58,2.5004,4
59,2.5435,9
60,2.5866,2
61,2.6296,0
62,2.6727,7
63,2.7157,1
64,2.7588,0
65,2.8018,2
66,2.8449,5
67,2.8879,1
68,2.931,2
69,2.9741,2
70,3.0171,4
71,3.0602,3
72,3.1032,5
73,3.1463,2
74,3.1893,4
75,3.2324,6
76,3.2755,3
77,3.3185,5
78,3.3616,2
79,3.4046,1
80,3.4477,1
81,3.4907,7
82,3.5338,1
83,3.5768,1
84,3.6199,3
85,3.663,5
86,3.706,2
87,3.7491,4
88,3.7921,7
89,3.8352,3
90,3.8782,5
91,3.9213,1
92,3.9643,5
93,4.0074,3
94,4.0505,4
95,4.0935,3
96,4.1366,2
97,4.1796,2
98,4.2227,1
99,4.2657,3
100,4.3088,7
101,4.3519,3
102,4.3949,6
103,4.438,3
104,4.481,1
105,4.5241,3
106,4.5671,5
107,4.6102,3
108,4.6532,2
109,4.6963,7
110,4.7394,4
111,4.7824,4
112,4.8255,4
113,4.8685,3
114,4.9116,4
115,4.9546,2
116,4.9977,7
117,5.0407,1
118,5.0838,3
119,5.1269,5
120,5.1699,5
121,5.213,2
122,5.256,7
123,5.2991,6
124,5.3421,4
125,5.3852,2
126,5.4283,2
127,5.4713,2
128,5.5144,7
129,5.5574,3
130,5.6005,4
131,5.6435,4
132,5.6866,1
133,5.7296,1
134,5.7727,5
135,5.8158,1
136,5.8588,3
137,5.9019,8
138,5.9449,1
139,5.988,1
140,6.031,6
141,6.0741,1
142,6.1171,5
143,6.1602,2
144,6.2033,4
145,6.2463,4
146,6.2894,3
147,6.3324,0
148,6.3755,2
149,6.4185,4
150,6.4616,2
151,6.5047,4
152,6.5477,1
153,6.5908,5
154,6.6338,2
155,6.6769,5
156,6.7199,4
157,6.763,4
158,6.806,2
159,6.8491,5
160,6.8922,6
161,6.9352,3
162,6.9783,5
163,7.0213,5
164,7.0644,2
165,7.1074,5
166,7.1505,5
167,7.1935,3
168,7.2366,2
169,7.2797,3
170,7.3227,8
171,7.3658,4
172,7.4088,3
173,7.4519,4
174,7.4949,4
175,7.538,2
176,7.5811,2
177,7.6241,3
178,7.6672,3
179,7.7102,2
180,7.7533,2
181,7.7963,5
182,7.8394,1
183,7.8824,2
184,7.9255,2
185,7.9686,6
186,8.0116,1
187,8.0547,5
188,8.0977,5
189,8.1408,1
