ch,energy,intensity
1,0.0463,0
2,0.0893,0
3,0.1324,0
4,0.1754,0
5,0.2185,0
6,0.2615,0
7,0.3046,0
8,0.3476,0
9,0.3907,0
10,0.4338,0
11,0.4768,0
12,0.5199,0
13,0.5629,0
14,0.606,0
15,0.649,0
16,0.6921,0
17,0.7351,0
18,0.7782,0
19,0.8213,0
20,0.8643,0
21,0.9074,0
22,0.9504,0
23,0.9935,0
24,1.0365,0
25,1.0796,0
26,1.1227,0
27,1.1657,0
28,1.2088,0
29,1.2518,0
30,1.2949,0
31,1.3379,0
32,1.381,0
33,1.424,0
34,1.4671,0
35,1.5102,0
36,1.5532,1
37,1.5963,0
38,1.6393,0
39,1.6824,1
40,1.7254,0
41,1.7685,0
42,1.8115,6
43,1.8546,3
44,1.8977,12
45,1.9407,7
46,1.9838,6
47,2.0268,5
48,2.0699,10
49,2.1129,10
50,2.156,8
51,2.1991,6
52,2.2421,3
53,2.2852,4
54,2.3282,5
55,2.3713,3
56,2.4143,11
57,2.4574,6
58,2.5004,5
59,2.5435,4
60,2.5866,5
61,2.6296,9
62,2.6727,1
63,2.7157,10
64,2.7588,8
65,2.8018,3
66,2.8449,7
67,2.8879,7
68,2.931,9
69,2.9741,8
70,3.0171,4
71,3.0602,5
72,3.1032,11
73,3.1463,3
74,3.1893,8
75,3.2324,6
76,3.2755,6
77,3.3185,7
78,3.3616,9
79,3.4046,8
80,3.4477,4
81,3.4907,5
82,3.5338,6
83,3.5768,12
84,3.6199,14
85,3.663,9
86,3.706,9
87,3.7491,7
88,3.7921,5
89,3.8352,4
90,3.8782,3
91,3.9213,10
92,3.9643,6
93,4.0074,9
94,4.0505,8
95,4.0935,12
96,4.1366,5
97,4.1796,4
98,4.2227,7
99,4.2657,7
100,4.3088,9
101,4.3519,2
102,4.3949,7
103,4.438,4
104,4.481,10
105,4.5241,8
106,4.5671,5
107,4.6102,5
108,4.6532,9
109,4.6963,6
110,4.7394,8
111,4.7824,12
112,4.8255,8
113,4.8685,11
114,4.9116,11
115,4.9546,8
116,4.9977,11
117,5.0407,7
118,5.0838,11
119,5.1269,12
120,5.1699,9
121,5.213,8
122,5.256,12
123,5.2991,15
124,5.3421,3
125,5.3852,8
126,5.4283,6
127,5.4713,2
128,5.5144,5
129,5.5574,12
130,5.6005,5
131,5.6435,5
132,5.6866,7
133,5.7296,7
134,5.7727,11
135,5.8158,9
136,5.8588,5
137,5.9019,6
138,5.9449,4
139,5.988,11
140,6.031,5
141,6.0741,6
142,6.1171,8
143,6.1602,10
144,6.2033,13
145,6.2463,7
146,6.2894,1
147,6.3324,6
148,6.3755,8
149,6.4185,6
150,6.4616,9
151,6.5047,11
152,6.5477,10
153,6.5908,6
154,6.6338,5
155,6.6769,4
156,6.7199,10
157,6.763,8
158,6.806,10
159,6.8491,8
160,6.8922,4
161,6.9352,14
162,6.9783,12
163,7.0213,12
164,7.0644,8
165,7.1074,10
166,7.1505,6
167,7.1935,6
168,7.2366,10
169,7.2797,11
170,7.3227,3
171,7.3658,4
172,7.4088,12
173,7.4519,4
174,7.4949,8
175,7.538,6
176,7.5811,7
177,7.6241,6
178,7.6672,11
179,7.7102,8
180,7.7533,9
181,7.7963,9
182,7.8394,7
183,7.8824,7
184,7.9255,5
185,7.9686,3
186,8.0116,13
187,8.0547,6
188,8.0977,5
189,8.1408,9
