ch,energy,intensity
1,0.0463,0
2,0.0893,0
3,0.1324,0
4,0.1754,0
5,0.2185,0
6,0.2615,0
7,0.3046,0
8,0.3476,0
9,0.3907,0
10,0.4338,0
11,0.4768,0
12,0.5199,0
13,0.5629,0
14,0.606,0
15,0.649,0
16,0.6921,0
17,0.7351,0
18,0.7782,0
19,0.8213,0
20,0.8643,0
21,0.9074,0
22,0.9504,0
23,0.9935,0
24,1.0365,0
25,1.0796,0
26,1.1227,0
27,1.1657,0
28,1.2088,0
29,1.2518,0
30,1.2949,0
31,1.3379,0
32,1.381,0
33,1.424,0
34,1.4671,0
35,1.5102,0
36,1.5532,0
37,1.5963,2
38,1.6393,5
39,1.6824,11
40,1.7254,5
41,1.7685,14
42,1.8115,12
43,1.8546,13
44,1.8977,12
45,1.9407,13
46,1.9838,12
47,2.0268,13
48,2.0699,14
49,2.1129,13
50,2.156,11
51,2.1991,7
52,2.2421,14
53,2.2852,18
54,2.3282,12
55,2.3713,16
56,2.4143,12
57,2.4574,15
58,2.5004,11
59,2.5435,17
60,2.5866,17
61,2.6296,20
62,2.6727,10
63,2.7157,18
64,2.7588,25
65,2.8018,12
66,2.8449,14
67,2.8879,8
68,2.931,14
69,2.9741,16
70,3.0171,10
71,3.0602,13
72,3.1032,12
73,3.1463,15
74,3.1893,11
75,3.2324,18
76,3.2755,12
77,3.3185,10
78,3.3616,18
79,3.4046,11
80,3.4477,17
81,3.4907,9
82,3.5338,14
83,3.5768,9
84,3.6199,7
85,3.663,11
86,3.706,16
87,3.7491,10
88,3.7921,31
89,3.8352,15
90,3.8782,18
91,3.9213,17
92,3.9643,14
93,4.0074,20
94,4.0505,16
95,4.0935,17
96,4.1366,16
97,4.1796,17
98,4.2227,18
99,4.2657,15
100,4.3088,22
101,4.3519,15
102,4.3949,18
103,4.438,13
104,4.481,14
105,4.5241,15
106,4.5671,20
107,4.6102,21
108,4.6532,10
109,4.6963,18
110,4.7394,11
111,4.7824,20
112,4.8255,12
113,4.8685,17
114,4.9116,12
115,4.9546,16
116,4.9977,13
117,5.0407,13
118,5.0838,17
119,5.1269,14
120,5.1699,10
121,5.213,10
122,5.256,15
123,5.2991,13
124,5.3421,16
125,5.3852,16
126,5.4283,13
127,5.4713,11
128,5.5144,17
129,5.5574,15
130,5.6005,18
131,5.6435,13
132,5.6866,19
133,5.7296,19
134,5.7727,18
135,5.8158,11
136,5.8588,13
137,5.9019,21
138,5.9449,14
139,5.988,12
140,6.031,18
141,6.0741,14
142,6.1171,13
143,6.1602,12
144,6.2033,16
145,6.2463,13
146,6.2894,9
147,6.3324,16
148,6.3755,17
149,6.4185,14
150,6.4616,12
151,6.5047,11
152,6.5477,18
153,6.5908,18
154,6.6338,18
155,6.6769,27
156,6.7199,16
157,6.763,15
158,6.806,11
159,6.8491,12
160,6.8922,16
161,6.9352,15
162,6.9783,14
163,7.0213,14
164,7.0644,12
165,7.1074,14
166,7.1505,15
167,7.1935,16
168,7.2366,16
169,7.2797,10
170,7.3227,12
171,7.3658,19
172,7.4088,15
173,7.4519,8
174,7.4949,11
175,7.538,17
176,7.5811,20
177,7.6241,12
178,7.6672,16
179,7.7102,20
180,7.7533,14
181,7.7963,12
182,7.8394,9
183,7.8824,12
184,7.9255,19
185,7.9686,17
186,8.0116,12
187,8.0547,17
188,8.0977,23
189,8.1408,7
