ch,energy,intensity
1,0.0463,0
2,0.0893,0
3,0.1324,0
4,0.1754,0
5,0.2185,0
6,0.2615,0
7,0.3046,0
8,0.3476,0
9,0.3907,0
10,0.4338,0
11,0.4768,0
12,0.5199,0
13,0.5629,0
14,0.606,0
15,0.649,0
16,0.6921,0
17,0.7351,0
18,0.7782,0
19,0.8213,0
20,0.8643,0
21,0.9074,0
22,0.9504,0
23,0.9935,0
24,1.0365,0
25,1.0796,0
26,1.1227,0
27,1.1657,0
28,1.2088,0
29,1.2518,0
30,1.2949,0
31,1.3379,0
32,1.381,0
33,1.424,0
34,1.4671,0
35,1.5102,0
36,1.5532,0
37,1.5963,0
38,1.6393,0
39,1.6824,2
40,1.7254,1
41,1.7685,1
42,1.8115,0
43,1.8546,5
44,1.8977,6
45,1.9407,6
46,1.9838,11
47,2.0268,6
48,2.0699,7
49,2.1129,6
50,2.156,5
51,2.1991,4
52,2.2421,7
53,2.2852,10
54,2.3282,6
55,2.3713,7
56,2.4143,6
57,2.4574,9
58,2.5004,8
59,2.5435,4
60,2.5866,6
61,2.6296,3
62,2.6727,7
63,2.7157,5
64,2.7588,5
65,2.8018,5
66,2.8449,12
67,2.8879,11
68,2.931,5
69,2.9741,12
70,3.0171,4
71,3.0602,8
72,3.1032,4
73,3.1463,12
74,3.1893,5
75,3.2324,8
76,3.2755,10
77,3.3185,7
78,3.3616,12
79,3.4046,8
80,3.4477,10
81,3.4907,6
82,3.5338,10
83,3.5768,10
84,3.6199,6
85,3.663,9
86,3.706,6
87,3.7491,8
88,3.7921,7
89,3.8352,9
90,3.8782,6
91,3.9213,11
92,3.9643,14
93,4.0074,7
94,4.0505,12
95,4.0935,12
96,4.1366,8
97,4.1796,6
98,4.2227,14
99,4.2657,6
100,4.3088,9
101,4.3519,8
102,4.3949,12
103,4.438,12
104,4.481,7
105,4.5241,12
106,4.5671,14
107,4.6102,4
108,4.6532,13
109,4.6963,11
110,4.7394,6
111,4.7824,7
112,4.8255,5
113,4.8685,10
114,4.9116,10
115,4.9546,9
116,4.9977,7
117,5.0407,2
118,5.0838,10
119,5.1269,8
120,5.1699,12
121,5.213,9
122,5.256,6
123,5.2991,11
124,5.3421,6
125,5.3852,4
126,5.4283,6
127,5.4713,10
128,5.5144,7
129,5.5574,9
130,5.6005,7
131,5.6435,6
132,5.6866,8
133,5.7296,10
134,5.7727,12
135,5.8158,9
136,5.8588,7
137,5.9019,5
138,5.9449,8
139,5.988,8
140,6.031,9
141,6.0741,8
142,6.1171,11
143,6.1602,4
144,6.2033,6
145,6.2463,10
146,6.2894,4
147,6.3324,9
148,6.3755,7
149,6.4185,11
150,6.4616,5
151,6.5047,10
152,6.5477,7
153,6.5908,10
154,6.6338,12
155,6.6769,9
156,6.7199,5
157,6.763,9
158,6.806,9
159,6.8491,10
160,6.8922,6
161,6.9352,11
162,6.9783,11
163,7.0213,7
164,7.0644,5
165,7.1074,9
166,7.1505,9
167,7.1935,7
168,7.2366,3
169,7.2797,6
170,7.3227,8
171,7.3658,7
172,7.4088,7
173,7.4519,5
174,7.4949,9
175,7.538,15
176,7.5811,5
177,7.6241,7
178,7.6672,12
179,7.7102,6
180,7.7533,6
181,7.7963,10
182,7.8394,6
183,7.8824,8
184,7.9255,4
185,7.9686,9
186,8.0116,11
187,8.0547,8
188,8.0977,4
189,8.1408,8
