ch,energy,intensity
1,0.0463,0
2,0.0893,0
3,0.1324,0
4,0.1754,0
5,0.2185,0
6,0.2615,0
7,0.3046,0
8,0.3476,0
9,0.3907,0
10,0.4338,0
11,0.4768,0
12,0.5199,0
13,0.5629,0
14,0.606,0
15,0.649,0
16,0.6921,0
17,0.7351,0
18,0.7782,0
19,0.8213,0
20,0.8643,0
21,0.9074,0
22,0.9504,0
23,0.9935,0
24,1.0365,0
25,1.0796,0
26,1.1227,0
27,1.1657,0
28,1.2088,0
29,1.2518,0
30,1.2949,0
31,1.3379,0
32,1.381,0
33,1.424,0
34,1.4671,0
35,1.5102,0
36,1.5532,0
37,1.5963,0
38,1.6393,0
39,1.6824,0
40,1.7254,0
41,1.7685,3
42,1.8115,0
43,1.8546,2
44,1.8977,2
45,1.9407,3
46,1.9838,4
47,2.0268,2
48,2.0699,0
49,2.1129,3
50,2.156,3
51,2.1991,2
52,2.2421,2
53,2.2852,4
54,2.3282,1
55,2.3713,4
56,2.4143,1
57,2.4574,3
58,2.5004,4
59,2.5435,3
60,2.5866,5
61,2.6296,3
62,2.6727,1
63,2.7157,3
64,2.7588,4
65,2.8018,2
66,2.8449,3
67,2.8879,2
68,2.931,3
69,2.9741,3
70,3.0171,1
71,3.0602,4
72,3.1032,5
73,3.1463,1
74,3.1893,4
75,3.2324,4
76,3.2755,6
77,3.3185,3
78,3.3616,1
79,3.4046,4
80,3.4477,4
81,3.4907,0
82,3.5338,3
83,3.5768,5
84,3.6199,7
85,3.663,1
86,3.706,5
87,3.7491,2
88,3.7921,2
89,3.8352,6
90,3.8782,3
91,3.9213,6
92,3.9643,3
93,4.0074,4
94,4.0505,3
95,4.0935,5
96,4.1366,0
97,4.1796,2
98,4.2227,3
99,4.2657,11
100,4.3088,2
101,4.3519,5
102,4.3949,9
103,4.438,2
104,4.481,1
105,4.5241,1
106,4.5671,3
107,4.6102,5
108,4.6532,2
109,4.6963,3
110,4.7394,3
111,4.7824,5
112,4.8255,6
113,4.8685,4
114,4.9116,6
115,4.9546,1
116,4.9977,4
117,5.0407,2
118,5.0838,6
119,5.1269,1
120,5.1699,5
121,5.213,3
122,5.256,7
123,5.2991,3
124,5.3421,1
125,5.3852,5
126,5.4283,2
127,5.4713,6
128,5.5144,4
129,5.5574,9
130,5.6005,1
131,5.6435,3
132,5.6866,2
133,5.7296,2
134,5.7727,1
135,5.8158,4
136,5.8588,4
137,5.9019,6
138,5.9449,4
139,5.988,4
140,6.031,3
141,6.0741,6
142,6.1171,5
143,6.1602,0
144,6.2033,2
145,6.2463,3
146,6.2894,5
147,6.3324,3
148,6.3755,2
149,6.4185,7
150,6.4616,4
151,6.5047,4
152,6.5477,5
153,6.5908,2
154,6.6338,1
155,6.6769,4
156,6.7199,4
157,6.763,3
158,6.806,6
159,6.8491,4
160,6.8922,4
161,6.9352,5
162,6.9783,3
163,7.0213,5
164,7.0644,6
165,7.1074,4
166,7.1505,5
167,7.1935,5
168,7.2366,4
169,7.2797,4
170,7.3227,2
171,7.3658,1
172,7.4088,4
173,7.4519,6
174,7.4949,5
175,7.538,1
176,7.5811,1
177,7.6241,2
178,7.6672,4
179,7.7102,4
180,7.7533,0
181,7.7963,4
182,7.8394,3
183,7.8824,3
184,7.9255,2
185,7.9686,0
186,8.0116,1
187,8.0547,8
188,8.0977,6
189,8.1408,3
