ch,energy,intensity
1,0.0463,0
2,0.0893,0
3,0.1324,0
4,0.1754,0
5,0.2185,0
6,0.2615,0
7,0.3046,0
8,0.3476,0
9,0.3907,0
10,0.4338,0
11,0.4768,0
12,0.5199,0
13,0.5629,0
14,0.606,0
15,0.649,0
16,0.6921,0
17,0.7351,0
18,0.7782,0
19,0.8213,0
20,0.8643,0
21,0.9074,0
22,0.9504,0
23,0.9935,0
24,1.0365,0
25,1.0796,0
26,1.1227,0
27,1.1657,0
28,1.2088,0
29,1.2518,0
30,1.2949,0
31,1.3379,0
32,1.381,0
33,1.424,0
34,1.4671,0
35,1.5102,0
36,1.5532,1
37,1.5963,0
38,1.6393,0
39,1.6824,1
40,1.7254,4
41,1.7685,6
42,1.8115,4
43,1.8546,6
44,1.8977,8
45,1.9407,17
46,1.9838,13
47,2.0268,11
48,2.0699,12
49,2.1129,20
50,2.156,11
51,2.1991,16
52,2.2421,16
53,2.2852,23
54,2.3282,8
55,2.3713,10
56,2.4143,15
57,2.4574,18
58,2.5004,20
59,2.5435,12
60,2.5866,13
61,2.6296,17
62,2.6727,11
63,2.7157,19
64,2.7588,14
65,2.8018,6
66,2.8449,15
67,2.8879,10
68,2.931,14
69,2.9741,9
70,3.0171,15
71,3.0602,14
72,3.1032,17
73,3.1463,14
74,3.1893,18
75,3.2324,15
76,3.2755,20
77,3.3185,15
78,3.3616,18
79,3.4046,11
80,3.4477,16
81,3.4907,10
82,3.5338,17
83,3.5768,24
84,3.6199,12
85,3.663,9
86,3.706,19
87,3.7491,13
88,3.7921,18
89,3.8352,20
90,3.8782,21
91,3.9213,16
92,3.9643,16
93,4.0074,12
94,4.0505,15
95,4.0935,14
96,4.1366,15
97,4.1796,16
98,4.2227,15
99,4.2657,18
100,4.3088,18
101,4.3519,10
102,4.3949,19
103,4.438,8
104,4.481,22
105,4.5241,17
106,4.5671,23
107,4.6102,19
108,4.6532,14
109,4.6963,10
110,4.7394,18
111,4.7824,18
112,4.8255,19
113,4.8685,8
114,4.9116,9
115,4.9546,11
116,4.9977,21
117,5.0407,12
118,5.0838,13
119,5.1269,11
120,5.1699,26
121,5.213,20
122,5.256,14
123,5.2991,24
124,5.3421,20
125,5.3852,16
126,5.4283,15
127,5.4713,11
128,5.5144,10
129,5.5574,21
130,5.6005,15
131,5.6435,15
132,5.6866,8
133,5.7296,15
134,5.7727,10
135,5.8158,10
136,5.8588,17
137,5.9019,30
138,5.9449,16
139,5.988,13
140,6.031,17
141,6.0741,8
142,6.1171,10
143,6.1602,12
144,6.2033,13
145,6.2463,17
146,6.2894,19
147,6.3324,14
148,6.3755,12
149,6.4185,9
150,6.4616,17
151,6.5047,13
152,6.5477,22
153,6.5908,12
154,6.6338,9
155,6.6769,10
156,6.7199,11
157,6.763,15
158,6.806,16
159,6.8491,17
160,6.8922,13
161,6.9352,16
162,6.9783,10
163,7.0213,12
164,7.0644,22
165,7.1074,9
166,7.1505,12
167,7.1935,15
168,7.2366,18
169,7.2797,19
170,7.3227,20
171,7.3658,15
172,7.4088,12
173,7.4519,9
174,7.4949,16
175,7.538,18
176,7.5811,13
177,7.6241,20
178,7.6672,14
179,7.7102,19
180,7.7533,10
181,7.7963,7
182,7.8394,9
183,7.8824,14
184,7.9255,15
185,7.9686,13
186,8.0116,8
187,8.0547,11
188,8.0977,16
189,8.1408,14
