ch,energy,intensity
1,0.0463,0
2,0.0893,0
3,0.1324,0
4,0.1754,0
5,0.2185,0
6,0.2615,0
7,0.3046,0
8,0.3476,0
9,0.3907,0
10,0.4338,0
11,0.4768,0
12,0.5199,0
13,0.5629,0
14,0.606,0
15,0.649,0
16,0.6921,0
17,0.7351,0
18,0.7782,0
19,0.8213,0
20,0.8643,0
21,0.9074,0
22,0.9504,0
23,0.9935,0
24,1.0365,0
25,1.0796,0
26,1.1227,0
27,1.1657,0
28,1.2088,0
29,1.2518,0
30,1.2949,0
31,1.3379,0
32,1.381,0
33,1.424,0
34,1.4671,0
35,1.5102,0
36,1.5532,0
37,1.5963,0
38,1.6393,0
39,1.6824,2
40,1.7254,1
41,1.7685,4
42,1.8115,8
43,1.8546,10
44,1.8977,13
45,1.9407,15
46,1.9838,8
47,2.0268,8
48,2.0699,11
49,2.1129,13
50,2.156,10
51,2.1991,13
52,2.2421,11
53,2.2852,16
54,2.3282,12
55,2.3713,9
56,2.4143,6
57,2.4574,11
58,2.5004,9
59,2.5435,5
60,2.5866,16
61,2.6296,18
62,2.6727,16
63,2.7157,17
64,2.7588,14
65,2.8018,12
66,2.8449,12
67,2.8879,12
68,2.931,11
69,2.9741,6
70,3.0171,7
71,3.0602,17
72,3.1032,11
73,3.1463,14
74,3.1893,9
75,3.2324,8
76,3.2755,8
77,3.3185,11
78,3.3616,7
79,3.4046,8
80,3.4477,12
81,3.4907,15
82,3.5338,16
83,3.5768,12
84,3.6199,6
85,3.663,19
86,3.706,13
87,3.7491,12
88,3.7921,11
89,3.8352,14
90,3.8782,12
91,3.9213,16
92,3.9643,9
93,4.0074,5
94,4.0505,6
95,4.0935,8
96,4.1366,21
97,4.1796,19
98,4.2227,14
99,4.2657,9
100,4.3088,11
101,4.3519,5
102,4.3949,14
103,4.438,15
104,4.481,10
105,4.5241,9
106,4.5671,16
107,4.6102,17
108,4.6532,10
109,4.6963,11
110,4.7394,4
111,4.7824,12
112,4.8255,14
113,4.8685,16
114,4.9116,7
115,4.9546,14
116,4.9977,19
117,5.0407,7
118,5.0838,9
119,5.1269,12
120,5.1699,13
121,5.213,13
122,5.256,15
123,5.2991,14
124,5.3421,12
125,5.3852,9
126,5.4283,9
127,5.4713,14
128,5.5144,8
129,5.5574,14
130,5.6005,10
131,5.6435,11
132,5.6866,12
133,5.7296,8
134,5.7727,13
135,5.8158,8
136,5.8588,12
137,5.9019,10
138,5.9449,19
139,5.988,13
140,6.031,10
141,6.0741,10
142,6.1171,7
143,6.1602,9
144,6.2033,13
145,6.2463,11
146,6.2894,10
147,6.3324,7
148,6.3755,10
149,6.4185,9
150,6.4616,9
151,6.5047,8
152,6.5477,9
153,6.5908,13
154,6.6338,10
155,6.6769,11
156,6.7199,14
157,6.763,13
158,6.806,15
159,6.8491,15
160,6.8922,12
161,6.9352,8
162,6.9783,12
163,7.0213,11
164,7.0644,12
165,7.1074,10
166,7.1505,10
167,7.1935,16
168,7.2366,10
169,7.2797,10
170,7.3227,7
171,7.3658,9
172,7.4088,10
173,7.4519,11
174,7.4949,8
175,7.538,8
176,7.5811,7
177,7.6241,10
178,7.6672,16
179,7.7102,11
180,7.7533,11
181,7.7963,13
182,7.8394,16
183,7.8824,13
184,7.9255,11
185,7.9686,6
186,8.0116,13
187,8.0547,6
188,8.0977,6
189,8.1408,16
