ch,energy,intensity
1,0.0463,0
2,0.0893,0
3,0.1324,0
4,0.1754,0
5,0.2185,0
6,0.2615,0
7,0.3046,0
8,0.3476,0
9,0.3907,0
10,0.4338,0
11,0.4768,0
12,0.5199,0
13,0.5629,0
14,0.606,0
15,0.649,0
16,0.6921,0
17,0.7351,0
18,0.7782,0
19,0.8213,0
20,0.8643,0
21,0.9074,0
22,0.9504,0
23,0.9935,0
24,1.0365,0
25,1.0796,0
26,1.1227,0
27,1.1657,0
28,1.2088,0
29,1.2518,0
30,1.2949,0
31,1.3379,0
32,1.381,0
33,1.424,0
34,1.4671,0
35,1.5102,0
36,1.5532,0
37,1.5963,0
38,1.6393,0
39,1.6824,1
40,1.7254,4
41,1.7685,6
42,1.8115,8
43,1.8546,15
44,1.8977,10
45,1.9407,9
46,1.9838,16
47,2.0268,11
48,2.0699,12
49,2.1129,11
50,2.156,17
51,2.1991,18
52,2.2421,9
53,2.2852,10
54,2.3282,14
55,2.3713,13
56,2.4143,15
57,2.4574,18
58,2.5004,16
59,2.5435,16
60,2.5866,22
61,2.6296,12
62,2.6727,17
63,2.7157,15
64,2.7588,14
65,2.8018,17
66,2.8449,14
67,2.8879,17
68,2.931,18
69,2.9741,18
70,3.0171,13
71,3.0602,18
72,3.1032,7
73,3.1463,12
74,3.1893,14
75,3.2324,17
76,3.2755,18
77,3.3185,19
78,3.3616,20
79,3.4046,14
80,3.4477,15
81,3.4907,16
82,3.5338,11
83,3.5768,13
84,3.6199,11
85,3.663,12
86,3.706,14
87,3.7491,21
88,3.7921,21
89,3.8352,14
90,3.8782,14
91,3.9213,12
92,3.9643,21
93,4.0074,11
94,4.0505,19
95,4.0935,16
96,4.1366,17
97,4.1796,16
98,4.2227,11
99,4.2657,15
100,4.3088,18
101,4.3519,15
102,4.3949,22
103,4.438,11
104,4.481,17
105,4.5241,16
106,4.5671,16
107,4.6102,18
108,4.6532,17
109,4.6963,20
110,4.7394,14
111,4.7824,15
112,4.8255,18
113,4.8685,13
114,4.9116,17
115,4.9546,17
116,4.9977,19
117,5.0407,17
118,5.0838,17
119,5.1269,12
120,5.1699,11
121,5.213,14
122,5.256,12
123,5.2991,15
124,5.3421,15
125,5.3852,19
126,5.4283,14
127,5.4713,15
128,5.5144,24
129,5.5574,20
130,5.6005,14
131,5.6435,15
132,5.6866,20
133,5.7296,22
134,5.7727,24
135,5.8158,9
136,5.8588,16
137,5.9019,14
138,5.9449,13
139,5.988,16
140,6.031,15
141,6.0741,16
142,6.1171,18
143,6.1602,15
144,6.2033,17
145,6.2463,15
146,6.2894,13
147,6.3324,10
148,6.3755,17
149,6.4185,17
150,6.4616,10
151,6.5047,5
152,6.5477,19
153,6.5908,19
154,6.6338,18
155,6.6769,9
156,6.7199,17
157,6.763,8
158,6.806,20
159,6.8491,11
160,6.8922,20
161,6.9352,11
162,6.9783,13
163,7.0213,18
164,7.0644,16
165,7.1074,8
166,7.1505,10
167,7.1935,19
168,7.2366,14
169,7.2797,9
170,7.3227,16
171,7.3658,14
172,7.4088,14
173,7.4519,15
174,7.4949,11
175,7.538,7
176,7.5811,18
177,7.6241,15
178,7.6672,14
179,7.7102,14
180,7.7533,13
181,7.7963,10
182,7.8394,16
183,7.8824,13
184,7.9255,19
185,7.9686,19
186,8.0116,11
187,8.0547,24
188,8.0977,15
189,8.1408,17
