ch,energy,intensity
1,0.0463,0
2,0.0893,0
3,0.1324,0
4,0.1754,0
5,0.2185,0
6,0.2615,0
7,0.3046,0
8,0.3476,0
9,0.3907,0
10,0.4338,0
11,0.4768,0
12,0.5199,0
13,0.5629,0
14,0.606,0
15,0.649,0
16,0.6921,0
17,0.7351,0
18,0.7782,0
19,0.8213,0
20,0.8643,0
21,0.9074,0
22,0.9504,0
23,0.9935,0
24,1.0365,0
25,1.0796,0
26,1.1227,0
27,1.1657,0
28,1.2088,0
29,1.2518,0
30,1.2949,0
31,1.3379,0
32,1.381,0
33,1.424,0
34,1.4671,0
35,1.5102,0
36,1.5532,0
37,1.5963,0
38,1.6393,0
39,1.6824,0
40,1.7254,4
41,1.7685,0
42,1.8115,7
43,1.8546,10
44,1.8977,7
45,1.9407,12
46,1.9838,14
47,2.0268,19
48,2.0699,12
49,2.1129,16
50,2.156,9
51,2.1991,13
52,2.2421,11
53,2.2852,10
54,2.3282,13
55,2.3713,9
56,2.4143,13
57,2.4574,12
58,2.5004,17
59,2.5435,13
60,2.5866,17
61,2.6296,15
62,2.6727,9
63,2.7157,13
64,2.7588,9
65,2.8018,20
66,2.8449,20
67,2.8879,15
68,2.931,16
69,2.9741,13
70,3.0171,12
71,3.0602,21
72,3.1032,21
73,3.1463,18
74,3.1893,21
75,3.2324,17
76,3.2755,9
77,3.3185,10
78,3.3616,15
79,3.4046,12
80,3.4477,15
81,3.4907,14
82,3.5338,14
83,3.5768,17
84,3.6199,11
85,3.663,13
86,3.706,17
87,3.7491,21
88,3.7921,13
89,3.8352,23
90,3.8782,14
91,3.9213,18
92,3.9643,16
93,4.0074,17
94,4.0505,6
95,4.0935,8
96,4.1366,15
97,4.1796,18
98,4.2227,19
99,4.2657,16
100,4.3088,14
101,4.3519,8
102,4.3949,10
103,4.438,21
104,4.481,23
105,4.5241,14
106,4.5671,13
107,4.6102,17
108,4.6532,15
109,4.6963,22
110,4.7394,14
111,4.7824,18
112,4.8255,21
113,4.8685,18
114,4.9116,12
115,4.9546,15
116,4.9977,10
117,5.0407,21
118,5.0838,15
119,5.1269,12
120,5.1699,15
121,5.213,11
122,5.256,20
123,5.2991,17
124,5.3421,13
125,5.3852,12
126,5.4283,17
127,5.4713,20
128,5.5144,16
129,5.5574,27
130,5.6005,14
131,5.6435,12
132,5.6866,20
133,5.7296,19
134,5.7727,18
135,5.8158,13
136,5.8588,9
137,5.9019,15
138,5.9449,11
139,5.988,8
140,6.031,8
141,6.0741,15
142,6.1171,7
143,6.1602,8
144,6.2033,17
145,6.2463,13
146,6.2894,9
147,6.3324,10
148,6.3755,15
149,6.4185,8
150,6.4616,14
151,6.5047,13
152,6.5477,16
153,6.5908,18
154,6.6338,22
155,6.6769,15
156,6.7199,15
157,6.763,5
158,6.806,15
159,6.8491,8
160,6.8922,12
161,6.9352,22
162,6.9783,13
163,7.0213,12
164,7.0644,12
165,7.1074,10
166,7.1505,12
167,7.1935,13
168,7.2366,16
169,7.2797,18
170,7.3227,11
171,7.3658,14
172,7.4088,18
173,7.4519,13
174,7.4949,9
175,7.538,12
176,7.5811,19
177,7.6241,12
178,7.6672,23
179,7.7102,16
180,7.7533,18
181,7.7963,15
182,7.8394,14
183,7.8824,15
184,7.9255,20
185,7.9686,10
186,8.0116,13
187,8.0547,13
188,8.0977,14
189,8.1408,10
