ch,energy,intensity
1,0.0463,0
2,0.0893,0
3,0.1324,0
4,0.1754,0
5,0.2185,0
6,0.2615,0
7,0.3046,0
8,0.3476,0
9,0.3907,0
10,0.4338,0
11,0.4768,0
12,0.5199,0
13,0.5629,0
14,0.606,0
15,0.649,0
16,0.6921,0
17,0.7351,0
18,0.7782,0
19,0.8213,0
20,0.8643,0
21,0.9074,0
22,0.9504,0
23,0.9935,0
24,1.0365,0
25,1.0796,0
26,1.1227,0
27,1.1657,0
28,1.2088,0
29,1.2518,0
30,1.2949,0
31,1.3379,0
32,1.381,0
33,1.424,0
34,1.4671,0
35,1.5102,0
36,1.5532,0
37,1.5963,0
38,1.6393,0
39,1.6824,0
40,1.7254,0
41,1.7685,4
42,1.8115,14
43,1.8546,11
44,1.8977,16
45,1.9407,13
46,1.9838,14
47,2.0268,14
48,2.0699,10
49,2.1129,15
50,2.156,13
51,2.1991,10
52,2.2421,14
53,2.2852,13
54,2.3282,8
55,2.3713,19
56,2.4143,8
57,2.4574,13
58,2.5004,14
59,2.5435,14
60,2.5866,17
61,2.6296,11
62,2.6727,11
63,2.7157,7
64,2.7588,16
65,2.8018,6
66,2.8449,13
67,2.8879,17
68,2.931,16
69,2.9741,15
70,3.0171,11
71,3.0602,13
72,3.1032,15
73,3.1463,13
74,3.1893,13
75,3.2324,11
76,3.2755,11
77,3.3185,7
78,3.3616,16
79,3.4046,10
80,3.4477,13
81,3.4907,5
82,3.5338,10
83,3.5768,9
84,3.6199,7
85,3.663,7
86,3.706,14
87,3.7491,9
88,3.7921,8
89,3.8352,17
90,3.8782,19
91,3.9213,12
92,3.9643,9
93,4.0074,10
94,4.0505,14
95,4.0935,16
96,4.1366,12
97,4.1796,20
98,4.2227,16
99,4.2657,10
100,4.3088,14
101,4.3519,16
102,4.3949,8
103,4.438,14
104,4.481,8
105,4.5241,11
106,4.5671,9
107,4.6102,19
108,4.6532,8
109,4.6963,12
110,4.7394,11
111,4.7824,8
112,4.8255,11
113,4.8685,8
114,4.9116,10
115,4.9546,19
116,4.9977,7
117,5.0407,3
118,5.0838,8
119,5.1269,15
120,5.1699,14
121,5.213,14
122,5.256,10
123,5.2991,17
124,5.3421,10
125,5.3852,5
126,5.4283,8
127,5.4713,13
128,5.5144,14
129,5.5574,11
130,5.6005,10
131,5.6435,9
132,5.6866,13
133,5.7296,7
134,5.7727,15
135,5.8158,14
136,5.8588,17
137,5.9019,8
138,5.9449,9
139,5.988,10
140,6.031,14
141,6.0741,10
142,6.1171,14
143,6.1602,20
144,6.2033,7
145,6.2463,9
146,6.2894,16
147,6.3324,9
148,6.3755,11
149,6.4185,22
150,6.4616,15
151,6.5047,15
152,6.5477,21
153,6.5908,16
154,6.6338,17
155,6.6769,14
156,6.7199,8
157,6.763,17
158,6.806,13
159,6.8491,16
160,6.8922,13
161,6.9352,11
162,6.9783,15
163,7.0213,5
164,7.0644,12
165,7.1074,18
166,7.1505,17
167,7.1935,12
168,7.2366,17
169,7.2797,12
170,7.3227,18
171,7.3658,7
172,7.4088,13
173,7.4519,16
174,7.4949,14
175,7.538,11
176,7.5811,14
177,7.6241,17
178,7.6672,11
179,7.7102,4
180,7.7533,16
181,7.7963,8
182,7.8394,13
183,7.8824,15
184,7.9255,16
185,7.9686,12
186,8.0116,13
187,8.0547,10
188,8.0977,12
189,8.1408,10
